nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,MSI-H/dMMR,HER2,PD-L1,POLE,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT04865887,Pembrolizumab and Lenvatinib in Advanced Cervical Cancer,PHASE2,Phase 2,RECRUITING,35,Georgetown University,Georgetown University,55,0,1,single_arm,1,lenvatinib;pembrolizumab,lenvatinib;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04895709,A Study of BMS-986340 as Monotherapy and as Combination Therapy in Participants With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,1109,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,multi_experimental,9,bms-986340,bms-936558-01;bms-986340;docetaxel;pumitamig,PD-1,Monoclonal Antibody,PD-L1;biomarker;biomarker analysis,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT04906993,Camrelizumab Combined With Famitinib Malate for Treatment of Recurrent/Metastatic Cervical Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,443,"Jiangsu HengRui Medicine Co., Ltd.",Hengrui,312,1,0,active_comparator,2,platinum-based,camrelizumab； famitinib malate,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT04956640,Study of LY3537982 in Cancer Patients With a Specific Genetic Mutation (KRAS G12C),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,540,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,3,ly3537982,carboplatin;cetuximab;cisplatin;ly3537982;pembrolizumab;pemetrexed,KRAS,Small Molecule,KRAS,0,1,0,0,0,0,1,0,0,,metastatic · 1st-line · measurable (RECIST)
NCT04969315,TT-4 and TT-10 as Single Agents and in Combination in Subjects With Advanced Selected Solid Tumors and Pleural Mesothelioma,PHASE1;PHASE2,Phase 2,RECRUITING,35,Portage Biotech,Portage Biotech,1,1,0,multi_experimental,3,,tt-10;tt-4,ADORA2A,Small Molecule,MET,0,1,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST) · ECOG 2
NCT04977453,GI-101/GI-101A as a Single Agent or in Combination With Pembrolizumab or Lenvatinib in Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,317,"GI Innovation, Inc.",GI Innovation,4,1,1,multi_experimental,5,,gi-101;gi-101a;lenvatinib;pembrolizumab (keytruda),PD-1,Bispecific Antibody,,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT04982237,"A Study of AK104 Plus Platinum-containing Chemotherapy±Bevacizumab as First-line Treatment for Persistent, Recurrent, or Metastatic Cervical Cancer",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,445,Akeso,Akeso,103,1,0,placebo_comparator,2,bevacizumab;carboplatin;cisplatin;paclitaxel,ak104;bevacizumab;carboplatin;cisplatin;paclitaxel,PD-1,Bispecific Antibody,PD-L1,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST) · ECOG 0
NCT05021237,Personalized Ultra-fractionated Stereotactic Adaptive Radiotherapy for Metastatic Cervical Cancer,PHASE2,Phase 2,COMPLETED,12,University of Texas Southwestern Medical Center,University of Texas Southwestern Medical Center,48,0,0,single_arm,1,ultra-fractionated radiation therapy,ultra-fractionated radiation therapy,,,,0,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05027776,Immunogenicity and Safety of Quadrivalent HPV Vaccine in Healthy Chinese Female Subjects Aged 9 to 19 Years,PHASE3,Phase 3,RECRUITING,1348,"Shanghai Bovax Biotechnology Co., Ltd.",Shanghai Bovax Biotechnology,12,1,0,active_comparator,3,3-doses group among 20-26 years,2-doses group among 9-14 years;3-doses group among 9-19 years,HPV,Vaccine,,1,1,0,0,0,0,0,0,0,,
NCT05032040,A Study of XmAb20717 (Vudalimab)in Patients With Selected Advanced Gynecologic and Genitourinary Malignancies,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,170,"Xencor, Inc.",Xencor,19,1,0,single_arm,1,vudalimab,vudalimab,PD-1,Bispecific Antibody,CDK12;MMR;MSI;MSI-H;PD-L1;dMMR,1,1,1,0,1,0,0,1,1,"MSI-H/dMMR, PD-L1+",metastatic · 2nd-line+ · measurable (RECIST)
NCT05056402,An Immuno-bridging Study of a Nonavalent HPV Vaccine (E.Coli) in Healthy Population Aged 9-17 vs Aged 18-26 Years Old,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1382,Xiamen University,Xiamen University,9,0,0,multi_experimental,3,11;16;18;31;33;45;52;58 )vaccine(e.coli),11;16;18;2 doses of therecombinant human papillomavirus nonavalent (types 6;3 doses of the recombinant human papillomavirus nonavalent (types 6;31;33;45;52;58 )vaccine(e.coli),HPV,Vaccine,,1,1,0,0,0,0,0,0,0,,
NCT05057013,A Phase I/IIa Trial of HMBD-001 in Advanced HER3 Positive Solid Tumours,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,81,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,2,,hmbd-001;hmbd-001 and enzalutamide,HER3,Monoclonal Antibody,HER3,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca.
NCT05077215,Efficacy and Safety of a Repurposed Drug Added to the Combination of Len Plus Pem in Advanced Endometrial Cancer,PHASE3,Phase 3,NOT_YET_RECRUITING,450,"Evergreen Therapeutics, Inc.",Evergreen Therapeutics,2,1,0,active_comparator,2,lenvatinib capsules;pembrolizumab,eg-007;lenvatinib capsules;pembrolizumab,,,MMR;MSI;MSI-H;dMMR,0,1,1,0,0,0,0,0,1,MSI-H/dMMR,metastatic · measurable (RECIST)
NCT05081609,A Study to Investigate Safety and Tolerability of TransCon IL-2 β/γ Alone or in Combination With Pembrolizumab and/or TransCon TLR7/8 Agonist or Other Anticancer Therapies in Adult Participants With Locally Advanced or Metastatic Solid Tumor Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,320,Ascendis Pharma Oncology Division A/S,Ascendis Pharma Oncology Division A/S,2,1,0,multi_experimental,13,transcon il-2 β/γ,chemotherapy drug;pembrolizumab;surgery;transcon il-2 β/γ;transcon tlr7/8 agonist;trastuzumab;trastuzumab emtansine (t-dm1),IL-2,Peptide,ALC;CD25;CXCL10;IFN-γ;PD-L1;eosinophil,0,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+
NCT05082259,ASTEROID: A Trial of ASTX660 in Combination With Pembrolizumab,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,61,"Institute of Cancer Research, United Kingdom","Institute of Cancer Research, United Kingdom",24,0,1,multi_experimental,2,astx660;pembrolizumab,astx660;pembrolizumab,cIAP1,Small Molecule,CIAP1;CIAP2;ER;HER2;IDH1;IDH2;PD-L1;biomarker;biomarker analysis,0,1,0,1,1,0,0,1,1,"HER2+, PD-L1+",metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,PHASE1;PHASE2,Phase 2,RECRUITING,115,"Medicenna Therapeutics, Inc.",Medicenna Therapeutics,2,1,1,single_arm,1,mdna11;pembrolizumab (keytruda),mdna11;pembrolizumab (keytruda),IL-2,Cell Therapy,MSI-H,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT05103683,First in Human Study of TORL-1-23 in Participants With Advanced Cancer,PHASE1,Phase 1,RECRUITING,90,"TORL Biotherapeutics, LLC",TORL Biotherapeutics,8,1,0,multi_experimental,2,torl-1-23,torl-1-23,CLDN6,ADC,Claudin 6,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05106127,Safety Lead-In Study of a Repurposed Drug Added to the Combination of Len Plus Pem,PHASE2,Phase 2,NOT_YET_RECRUITING,28,"Evergreen Therapeutics, Inc.",Evergreen Therapeutics,2,1,0,multi_experimental,3,eg-007;lenvatinib capsules;pembrolizumab,eg-007;lenvatinib capsules;pembrolizumab,,,MMR;MSI;MSI-H;dMMR,0,1,1,0,0,0,0,1,1,MSI-H/dMMR,metastatic · 2nd-line+ · measurable (RECIST)
NCT05107674,A Study of NX-1607 in Adults With Advanced Malignancies,PHASE1,Phase 1,RECRUITING,345,"Nurix Therapeutics, Inc.",Nurix Therapeutics,7,1,0,multi_experimental,12,nx-1607,nx-1607;paclitaxel,CBL-B,Small Molecule,PD-L1,0,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05112991,Study of Envafolimab Alone or With Lenvatinib in Patients With Advanced Endometrial Cancer,PHASE2,Phase 2,RECRUITING,108,"3D Medicines (Sichuan) Co., Ltd.",3D Medicines (Sichuan),10,1,0,multi_experimental,2,,envafolimab;envafolimab+lenvatinib,PD-1,Monoclonal Antibody,MSI;MSI-H;PD-L1;TMB-H;biomarker;biomarker analysis;dMMR,1,1,1,0,1,0,1,0,1,"MSI-H/dMMR, PD-L1+",metastatic · 1st-line · squamous · measurable (RECIST)
NCT05123482,"A Phase I/IIa Study of AZD8205 Given Alone or Combined, in Participants With Advanced/Metastatic Solid Malignancies",PHASE1;PHASE2,Phase 2,RECRUITING,460,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,4,,azd8205;azd8205 and azd2936 (rilvegostomig);azd8205 and azd5305 (saruparib);azd8205 and azd5305 (saruparib) and azd2936 (rilvegostomig);azd8205 in combination with azd9574;azd8205 in combination with azd9574 plus rilvegostomig (azd2936),B7-H4,ADC,B7-H4,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05143970,A Phase 1 First-In-Human Study of the Anti-CD73 IPH5301 Alone or in Combination With Chemotherapy and Trastuzumab in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,27,Institut Paoli-Calmettes,Institut Paoli-Calmettes,12,0,0,single_arm,1,iph5301 alone or in combination with chemotherapy and trastuzumab,iph5301 alone or in combination with chemotherapy and trastuzumab,CD73,Monoclonal Antibody,ER;HER2;MET;PD-L1;PR,1,1,0,1,1,0,1,1,1,"HER2+, PD-L1+",metastatic · 1st-line · ductal · measurable (RECIST)
NCT05154487,A Study of Alpelisib and Fulvestrant to Treat Endometrial Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,51,GOG Foundation,GOG Foundation,4,0,1,single_arm,1,alpelisib pill;fulvestrant injection,alpelisib pill;fulvestrant injection,PIK3CA,Small Molecule,ER;MET;MSI;PIK3CA,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT05173987,Study of Pembrolizumab (MK-3475) Versus Chemotherapy in Mismatch Repair Deficient (dMMR) Advanced or Recurrent Endometrial Carcinoma (MK-3475-C93/KEYNOTE-C93/GOG-3064/ENGOT-en15),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,280,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,2,carboplatin;cisplatin;docetaxel;paclitaxel,pembrolizumab,PD-1,Monoclonal Antibody,MMR;PD-L1;dMMR,1,1,1,0,1,0,0,0,1,"MSI-H/dMMR, PD-L1+",metastatic · squamous · measurable (RECIST)
NCT05201547,Endometrial Cancer Patientes MMR Deficient Comparing Chemotherapy vs Dostarlimab in First Line,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,260,ARCAGY/ GINECO GROUP,ARCAGY/ GINECO GROUP,16,0,1,multi_experimental,2,,carboplatin-paclitaxel;dostarlimab,PD-1,Monoclonal Antibody,MSI;MSI-H;PD-L1;dMMR,1,1,1,0,1,0,0,1,1,"MSI-H/dMMR, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05208762,A Study of PF-08046054/SGN-PDL1V in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,714,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,2,pf-08046054,pembrolizumab;pf-08046054,PD-L1,Monoclonal Antibody,MET;PD-L1,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05215574,Study of NGM831 as Monotherapy and in Combination With Pembrolizumab or Pembrolizumab and NGM438 in Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,130,"NGM Biopharmaceuticals, Inc",NGM Biopharmaceuticals,6,1,1,multi_experimental,3,,ngm831;ngm831 and ngm438 plus pembrolizumab (keytruda);ngm831 plus pembrolizumab (keytruda),ILT3,Monoclonal Antibody,,1,1,0,0,0,0,0,0,0,,metastatic
NCT05231122,Pembrolizumab Combined With Bevacizumab With or Without Agonist Anti-CD40 CDX-1140 for the Treatment of Patients With Recurrent Ovarian Cancer,PHASE2,Phase 2,RECRUITING,80,Roswell Park Cancer Institute,Roswell Park Cancer Institute,73,0,1,active_comparator,2,bevacizumab;pembrolizumab;quality-of-life assessment;questionnaire administration,anti-cd40 agonist monoclonal antibody cdx-1140;bevacizumab;pembrolizumab;quality-of-life assessment;questionnaire administration,CD40,Monoclonal Antibody,CDX,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05235516,A Study of AK104/Placebo Combined With Chemoradiotherapy For The Treatment of Locally Advanced Cervical Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,636,Akeso,Akeso,103,1,0,placebo_comparator,2,bt;cisplatin;ebrt,ak104;bt;cisplatin;ebrt,PD-1,Bispecific Antibody,PD-L1,1,1,0,0,1,0,0,0,1,PD-L1+,locally advanced · adenoca. · measurable (RECIST) · ECOG 0-1
NCT05238883,A Study of HFB200301 as a Single Agent and in Combination With Tislelizumab in Adult Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,72,HiFiBiO Therapeutics,HiFiBiO Therapeutics,3,1,0,multi_experimental,4,hfb200301,hfb200301;tislelizumab,TNFR2,Monoclonal Antibody,BRAF,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05255653,Refining Adjuvant Treatment IN Endometrial Cancer Based On Molecular Features,PHASE2;PHASE3,Phase 3,RECRUITING,1615,Leiden University Medical Center,Leiden University Medical Center,16,0,1,active_comparator,8,pelvic external beam radiotherapy;vaginal brachytherapy,durvalumab;medroxyprogesterone acetate;megestrol acetate;olaparib;pelvic external beam radiotherapy;vaginal brachytherapy,PARP,Small Molecule,BRCA1;BRCA2;ER;MMR,0,1,1,0,0,1,0,0,1,"MSI-H/dMMR, POLEm",metastatic
NCT05283330,Safety and Tolerability of ²¹²Pb-DOTAM-GRPR1 in Adult Subjects With Recurrent or Metastatic GRPR-expressing Tumors,PHASE1,Phase 1,RECRUITING,48,"Orano Med Theranostics, SAS",Orano Med Theranostics,1,1,0,single_arm,1,²¹²pb-dotam-grpr1,²¹²pb-dotam-grpr1,GRPR,Radiopharmaceutical,ER;GRPR;HER2,0,1,0,1,0,0,0,0,1,HER2+,metastatic · small-cell · measurable (RECIST) · ECOG 0-1
NCT05366478,A Clinical Study of LM103 Injection in the Treatment of Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,15,"Suzhou BlueHorse Therapeutics Co., Ltd.",Suzhou BlueHorse Therapeutics,8,1,0,single_arm,1,autologous tumor infiltrating lymphocytes (tils),autologous tumor infiltrating lymphocytes (tils),,Cell Therapy,,1,1,0,0,0,0,0,0,0,,metastatic · small-cell
NCT05377996,A Study of Emiltatug Ledadotin (Emi-Le) in Participants With Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,360,"Day One Biopharmaceuticals, Inc.",Day One Biopharmaceuticals,7,1,0,single_arm,1,emi-le,emi-le,,,,0,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05438420,Oral Axl/Mer/CSF1R Selective Tyrosine Kinase Inhibitor Q702 in Combination With Pembrolizumab in Patients With Selected Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,120,"Qurient Co., Ltd.",Qurient,3,1,1,multi_experimental,2,pembrolizumab;q702,pembrolizumab;q702,PD-1,Small Molecule,PD-L1,0,1,0,0,1,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT05483491,"KK-LC-1 TCR-T Cell Therapy for Gastric, Breast, Cervical, and Lung Cancer",PHASE1,Phase 1,RECRUITING,30,Christian Hinrichs,Christian Hinrichs,3,0,0,single_arm,1,aldesleukin;kk-lc-1 tcr-t cells,aldesleukin;kk-lc-1 tcr-t cells,KK-LC-1,CAR-T,KK-LC-1;genomic,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05489211,Study of Dato-DXd as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Tumours (TROPION-PanTumor03),PHASE2,Phase 2,RECRUITING,454,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,14,datopotamab deruxtecan (dato-dxd),bevacizumab;capecitabine;carboplatin;cisplatin;datopotamab deruxtecan (dato-dxd);fluorouracil;prednisone/ prednisolone;rilvegostomig;volrustomig,VEGF/VEGFR,Monoclonal Antibody,TROP2;genomic,1,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT05492123,Nivolumab-ipilimumab and Chemoradiation for Cervical Cancer,PHASE2,Phase 2,RECRUITING,112,Hospital Israelita Albert Einstein,Hospital Israelita Albert Einstein,1,0,1,active_comparator,2,chemoradiation,chemoradiation;ipilimumab;nivolumab,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT05512208,A Phase 2 Study of Avutometinib (VS-6766) Plus Defactinib,PHASE2,Phase 2,RECRUITING,55,University of Oklahoma,University of Oklahoma,23,0,0,single_arm,1,avutometinib (vs-6766) + defactinib,avutometinib (vs-6766) + defactinib,BRAF,Small Molecule,BRAF;MET,0,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05521997,Glutaminase Inhibition and Chemoradiation in Advanced Cervical Cancer,PHASE2,Phase 2,NOT_YET_RECRUITING,42,Washington University School of Medicine,Washington University School of Medicine,178,0,0,active_comparator,2,cisplatin;radiation treatment,cisplatin;radiation treatment;telaglenastat,GLS,Small Molecule,KEAP1;NRF2,0,1,0,0,0,0,0,0,0,,advanced · adenoca.
NCT05527184,First in Human Study of IMGN151 in Recurrent Gynaecological Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,256,AbbVie,AbbVie,274,1,1,single_arm,1,imgn151,imgn151,FRα,ADC,FRα,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST) · ECOG 0
NCT05542407,ONC201 and Atezolizumab in Obesity-Driven Endometrial Cancer,PHASE1,Phase 1,RECRUITING,58,UNC Lineberger Comprehensive Cancer Center,UNC Lineberger Comprehensive Cancer Center,85,0,1,multi_experimental,2,atezolizumab;onc201,atezolizumab;onc201,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;PD-L1;TMB,1,1,0,0,1,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT05548296,A Phase 2 Study of ACR-368 in Endometrial Adenocarcinoma,PHASE2,Phase 2,RECRUITING,350,Acrivon Therapeutics,Acrivon Therapeutics,2,1,0,multi_experimental,4,acr-368,acr-368;diagnostic test: oncosignature;gemcitabine,CHK1,Small Molecule,ACR-368 OncoSignature,0,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05570422,"A Study to Evaluate the Safety, Tolerability, Preliminary Efficacy of KRC-01",PHASE1,Phase 1,RECRUITING,70,"Kortuc, Inc.",Kortuc,1,1,0,single_arm,1,brachytherapy;cisplatin;external beam radiation therapy;krc-01,brachytherapy;cisplatin;external beam radiation therapy;krc-01,,,,0,1,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT05579366,"Rinatabart Sesutecan (Rina-S, PRO1184, GEN1184) for Advanced Solid Tumors (GCT1184-01/ PRO1184-001)",PHASE1;PHASE2,Phase 2,RECRUITING,884,Genmab,Genmab,65,1,1,multi_experimental,4,rina-s,bevacizumab;carboplatin;pembrolizumab;rina-s,VEGF/VEGFR,Monoclonal Antibody,HER2,1,1,0,1,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · small-cell · measurable (RECIST)
NCT05581004,"A Study to Evaluate the Safety, Pharmacokinetics, and Activity of Enzelkitug as a Single Agent and in Combination With Checkpoint Inhibitor in Participants With Locally Advanced or Metastatic Solid Tumors",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,165,"Genentech, Inc.",Roche/Genentech,922,1,1,multi_experimental,4,enzelkitug,atezolizumab;enzelkitug;pembrolizumab,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;TMB,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05611931,"Selinexor in Maintenance Therapy After Systemic Therapy for Participants With p53 Wild-Type, Advanced or Recurrent Endometrial Carcinoma",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,257,Karyopharm Therapeutics Inc,Karyopharm Therapeutics,29,1,0,placebo_comparator,2,matching placebo for selinexor,selinexor,XPO1,Small Molecule,MSI;MSI-H;PR;dMMR,0,1,1,0,0,0,0,0,1,MSI-H/dMMR,small-cell · measurable (RECIST)
NCT05634499,A Study of Giredestrant in Participants With Grade 1 Endometrial Cancer,PHASE2,Phase 2,COMPLETED,33,Hoffmann-La Roche,Roche/Genentech,922,1,1,single_arm,1,giredestrant,giredestrant,ESR1,Small Molecule,ER,0,1,0,0,0,0,0,0,0,,metastatic
NCT05639972,E7 T-cell Receptor (TCR) -T Cell Induction Therapy for Locoregionally Advanced HPV-associated Cancers,PHASE1;PHASE2,Phase 2,RECRUITING,15,Christian Hinrichs,Christian Hinrichs,3,0,0,single_arm,1,aldesleukin;e7 tcr-t cells,aldesleukin;e7 tcr-t cells,E7,CAR-T,HPV-16,1,1,0,0,0,0,0,0,0,,measurable (RECIST)
NCT05669430,A Study of GV20-0251 Monotherapy and GV20-0251 in Combination With Pembrolizumab in Participants With Solid Tumor Malignancies,PHASE1;PHASE2,Phase 2,RECRUITING,365,GV20 Therapeutics,GV20 Therapeutics,3,1,1,multi_experimental,4,,gv20-0251;gv20-0251 and pembrolizumab [keytruda],IGSF8,Oncolytic Virus,IGSF8 RNA;IGSF8 membrane protein,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05686226,E7 TCR-T Cell Immunotherapy for Human Papillomavirus (HPV) Associated Cancers,PHASE2,Phase 2,RECRUITING,20,Christian Hinrichs,Christian Hinrichs,3,0,0,single_arm,1,aldesleukin;e7 tcr-t cells,aldesleukin;e7 tcr-t cells,E7,CAR-T,HPV-16;genomic,1,1,0,0,0,0,1,1,0,,metastatic · 1st-line · measurable (RECIST)
NCT05761951,"Phase 2 Study Evaluating the Efficacy of the Combination of DKN-01 (DKK1 Inhibitor, Leap Therapeutics) and Pembrolizumab in the Treatment of Advanced or Recurrent Endometrial Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,8,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,multi_experimental,2,dkn-01;pembrolizumab,dkn-01;pembrolizumab,DKK1,Monoclonal Antibody,HER2;MET;MMR;MSI;MSI-H;PD-L1;dMMR,1,1,1,0,1,0,0,1,1,"MSI-H/dMMR, PD-L1+",metastatic · 2nd-line+ · squamous
NCT05770102,"DETERMINE Trial Treatment Arm 02: Atezolizumab in Adult, Paediatric and Teenage/Young Adult Patients With Cancers With High Tumour Mutational Burden (TMB) or Microsatellite Instability-high (MSI-high) or Proven Constitutional Mismatch Repair Deficiency (CMMRD) Disposition",PHASE2;PHASE3,Phase 3,RECRUITING,30,Cancer Research UK,Cancer Research UK,16,0,1,single_arm,1,atezolizumab,atezolizumab,PD-L1,Monoclonal Antibody,CMMRD;MMR;MSI;MSI-H;TMB,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · small-cell
NCT05787587,A Study of PARG Inhibitor IDE161 in Participants With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,216,IDEAYA Biosciences,IDEAYA Biosciences,11,1,1,multi_experimental,4,ide-161,ide-161;pembrolizumab,PARG,Small Molecule,MSI,0,1,0,0,0,0,0,0,0,,metastatic
NCT05797168,Phase I/IIa Study of AZD5335 as Monotherapy and Combination Therapy in Participants With Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,602,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,6,torvutatug samrotecan,bevacizumab;carboplatin;palacaparib;pembrolizumab;saruparib;torvutatug samrotecan,PARP,Small Molecule,HRR;genomic,0,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05797831,Study of Navtemadlin as Maintenance Therapy in TP53WT Advanced or Recurrent Endometrial Cancer,PHASE2;PHASE3,Phase 3,RECRUITING,268,"Kartos Therapeutics, Inc.",Kartos Therapeutics,11,1,0,placebo_comparator,7,navtemadlin placebo,navtemadlin,MDM2,Small Molecule,PR;TP53,0,1,0,0,0,0,0,0,0,,recurrent · small-cell · measurable (RECIST) · ECOG 0-1
NCT05798819,"A Study of GLS-010 Plus Platinum-containing Chemotherapy±Bevacizumab as First-line Treatment for Persistent, Recurrent, or Metastatic Cervical Cancer",PHASE3,Phase 3,RECRUITING,424,"Guangzhou Gloria Biosciences Co., Ltd.",Guangzhou Gloria Biosciences,8,1,0,placebo_comparator,2,bevacizumab;carboplatin;cisplatin;paclitaxel,carboplatin;cisplatin;gls-010;paclitaxel,VEGF/VEGFR,Monoclonal Antibody,PD-L1;tumor mutation burden,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST) · ECOG 0
NCT05799274,Safety of RAD301 in Healthy Human Volunteers and Patients With Pancreatic Cancer or Other Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,9,"Radiopharm Theranostics, Ltd",Radiopharm Theranostics,7,1,0,single_arm,1,rad301 ([68ga]-rad301),rad301 ([68ga]-rad301),,Radiopharmaceutical,PR,0,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT05819892,"Phase I Trial Testing the Safety and Tolerability of Chemoradiation Followed by Chemotherapy + Dostarlimab for Stage IIIC, Node Positive, Endometrial Cancer",PHASE1,Phase 1,RECRUITING,21,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,multi_experimental,3,carboplatin;cisplatin;dostarlimab;paclitaxel,carboplatin;cisplatin;dostarlimab;paclitaxel,PD-1,Monoclonal Antibody,MSI-H;PD-L1;dMMR,1,1,0,0,1,0,0,0,1,PD-L1+,metastatic · ECOG 0
NCT05829629,Phase 1 Dose-escalation Study of FluBHPVE6E7 in HPV16-infected Women,PHASE1,Phase 1,RECRUITING,20,BlueSky Immunotherapies GmbH,BlueSky Immunotherapies,2,1,0,placebo_comparator,2,,flubhpve6e7,HPV16 E6/E7,Oncolytic Virus,HPV16,1,0,0,0,0,0,0,0,0,,adenoca.
