nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,AR,BRCA/HRR,PSMA,MSI-H/dMMR,first_line,later_line,biomarker_selected
NCT04704505,Bipolar Androgen Therapy (BAT) and Radium-223 (RAD) in Metastatic Castration-resistant Prostate Cancer (mCRPC),PHASE2,Phase 2,RECRUITING,47,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,single_arm,1,bipolar androgen therapy (bat);radium-223,bipolar androgen therapy (bat);radium-223,,Cell Therapy,AR;genomic,1,1,0,0,0,0,0,0,0
NCT04706962,TH1902 in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,70,Theratechnologies,Theratechnologies,1,1,0,single_arm,1,th1902,th1902,SORT1,Peptide,MET;SORT1,0,1,0,0,0,0,0,1,0
NCT04709276,A Study of Chemoimmunotherapy for the Treatment of Men With Neuroendocrine or Aggressive Variant Metastatic Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,41,"Andrew J. Armstrong, MD","Andrew J. Armstrong, MD",2,0,1,single_arm,1,cabazitaxel;carboplatin;ipilimumab;nivolumab,cabazitaxel;carboplatin;ipilimumab;nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1;biomarker,1,1,1,0,0,0,0,1,1
NCT04720157,"An International Prospective Open-label, Randomized, Phase III Study Comparing 177Lu-PSMA-617 in Combination With Standard of Care (SoC), Versus SoC Alone, in Adult Male Patients With Metastatic Hormone Sensitive Prostate Cancer (mHSPC)",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1140,Novartis Pharmaceuticals,Novartis,836,1,1,active_comparator,2,68ga-psma-11;adt;ardt,177lu-psma-617;68ga-psma-11;adt;ardt,PSMA,Radiopharmaceutical,PSMA,0,1,0,0,1,0,1,0,1
NCT04729114,A Safety and Dose-finding Study of PRL-02 Depot in Men With Advanced Prostate Cancer,PHASE1,Phase 1,RECRUITING,174,"Astellas Pharma Global Development, Inc.",Astellas,171,1,1,multi_experimental,5,prl-02 injection,enzalutamide;prl-02 injection,CYP17A1,Small Molecule,,0,1,0,0,0,0,0,0,0
NCT04742361,Efficacy of [18F]PSMA-1007 PET/CT in Patients With Biochemial Recurrent Prostate Cancer,PHASE3,Phase 3,COMPLETED,136,ABX advanced biochemical compounds GmbH,ABX advanced biochemical compounds,3,1,0,single_arm,1,[18f]psma-1007,[18f]psma-1007,PSMA,Radiopharmaceutical,,0,1,0,0,1,0,0,0,1
NCT04754191,Enfortumab Vedotin as Monotherapy in Patients With Metastatic Castration-Resistant Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,34,University of Utah,University of Utah,55,0,1,single_arm,1,enfortumab vedotin,enfortumab vedotin,Nectin-4,ADC,NECTIN-4,1,1,0,0,0,0,0,0,0
NCT04802876,Efficacy of Tislelizumab and Spartalizumab Across Multiple Cancer-types in Patients with PD1-high MRNA Expressing Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,184,SOLTI Breast Cancer Research Group,SOLTI Breast Cancer Research Group,18,0,1,multi_experimental,3,,spartalizumab;tislelizumab,PD-1,Monoclonal Antibody,BRAF,1,1,0,0,0,0,0,0,0
NCT04812366,Genomic Biomarker-Selected Umbrella Neoadjuvant Study for High Risk Localized Prostate Cancer,PHASE2,Phase 2,RECRUITING,315,University of British Columbia,University of British Columbia,7,0,1,active_comparator,8,abiraterone acetate;apalutamide;atezolizumab;capivasertib;docetaxel;niraparib;tazemetostat pill,,PARP,Small Molecule,BRCA1;BRCA2;HRD;MET;genomic,0,1,0,0,1,0,0,0,1
NCT04821622,Study of Talazoparib With Enzalutamide in Men With DDR Gene Mutated mCSPC,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,599,Pfizer,Pfizer,687,1,1,active_comparator,2,placebo plus enzalutamide,talazoparib plus enzalutamide,PARP,Small Molecule,CDX;DDR;biomarker;biomarker analysis;molecular profiling,0,1,0,0,0,0,0,0,0
NCT04833426,Impact of Peri-operative tEstosterone Levels on oNcological and Functional Outcomes in RadiCal prostatEctomy,PHASE3,Phase 3,RECRUITING,140,Canisius-Wilhelmina Hospital,Canisius-Wilhelmina Hospital,1,0,0,active_comparator,2,testosterone gel,,,,,0,0,0,0,0,0,0,0,0
NCT04846478,Phase Ia/Ib Talazoparib + Tazemetostat for mCRPC,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,35,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,multi_experimental,2,talazoparib;tazemetostat,talazoparib;tazemetostat,PARP,Small Molecule,ATM;BRCA1;BRCA2;BRIP1;CDK12;CHEK2;PALB2;RA,0,1,0,0,0,0,0,1,0
NCT04848337,Pembrolizumab and Lenvatinib in Advanced/Metastatic Neuroendocrine Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,45,University of Michigan Rogel Cancer Center,University of Michigan Rogel Cancer Center,59,0,1,single_arm,1,lenvatinib;pembrolizumab,lenvatinib;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;genomic,1,1,1,0,0,0,0,1,1
NCT04868604,64Cu-SAR-bisPSMA and 67Cu-SAR-bisPSMA for Identification and Treatment of PSMA-expressing Metastatic Castrate Resistant Prostate Cancer (SECuRE),PHASE1;PHASE2,Phase 2,RECRUITING,54,Clarity Pharmaceuticals Ltd,Clarity Pharmaceuticals,11,1,0,single_arm,1,64cu-sar-bispsma;67cu-sar-bispsma,64cu-sar-bispsma;67cu-sar-bispsma,PSMA,Radiopharmaceutical,,0,1,1,0,1,0,0,0,1
NCT04879563,Artificial Intelligence Supporting CAncer Patients Across Europe - the ASCAPE Project,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,500,Region Örebro County,Region Örebro County,2,0,0,single_arm,1,ascape-based follow-up strategy,ascape-based follow-up strategy,,,,0,1,0,0,0,0,0,0,0
NCT04898634,"A Study of JNJ-78278343, a T-Cell-Redirecting Agent Targeting Human Kallikrein 2 (KLK2), for Advanced Prostate Cancer",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,216,"Janssen Research & Development, LLC",Johnson & Johnson,363,1,1,single_arm,1,jnj-78278343,jnj-78278343,KLK2,Bispecific Antibody,AR,1,1,1,0,0,0,0,0,1
NCT04916613,ADT +/- Darolutamide in de Novo Metastatic Prostate Cancer Patients With Vulnerable Functional Ability (PEACE6-Vulnerable),PHASE3,Phase 3,RECRUITING,300,UNICANCER,UNICANCER,64,0,1,placebo_comparator,2,androgen deprivation therapy,androgen deprivation therapy;darolutamide,AR,Small Molecule,AR,0,1,0,0,0,0,0,0,0
NCT04943536,Bicalutamide Implants (Biolen) With Radiation Therapy in Patients With Localized Prostate Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,20,Alessa Therapeutics Inc.,Alessa Therapeutics,3,1,0,single_arm,1,bicalutamide;stereotactic body radiation therapy,bicalutamide;stereotactic body radiation therapy,AR,Small Molecule,,0,1,0,0,0,0,0,0,0
NCT04946370,Phase I/II Trial of Pembrolizumab and Androgen-receptor Inhibitor With or Without 225Ac-J591 for Progressive Metastatic Castration Resistant Prostate Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,52,Weill Medical College of Cornell University,Weill Medical College of Cornell University,90,0,1,multi_experimental,2,androgen receptor inhibitor;diagnostic test: 68ga-psma-11;pembrolizumab,225ac-j591;androgen receptor inhibitor;diagnostic test: 68ga-psma-11;pembrolizumab,PSMA,Radiopharmaceutical,PD-L1;PSMA,0,1,1,0,1,0,0,1,1
NCT04969315,TT-4 and TT-10 as Single Agents and in Combination in Subjects With Advanced Selected Solid Tumors and Pleural Mesothelioma,PHASE1;PHASE2,Phase 2,RECRUITING,35,Portage Biotech,Portage Biotech,1,1,0,multi_experimental,3,,tt-10;tt-4,ADORA2A,Small Molecule,MET,0,1,0,0,0,0,0,0,0
NCT04986423,ZEN003694 and Enzalutamide Versus Enzalutamide Monotherapy in Metastatic Castration-Resistant Prostate Cancer,PHASE2,Phase 2,RECRUITING,200,Zenith Epigenetics,Zenith Epigenetics,6,1,1,active_comparator,4,enzalutamide,enzalutamide;zen003694,BET,Small Molecule,AR,0,1,1,0,0,0,0,0,1
NCT04989946,"Androgen Deprivation, With or Without pTVG-AR, and With or Without T-Cell Checkpoint Blockade, in Patients With Newly Diagnosed, High-Risk Prostate Cancer",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,57,"University of Wisconsin, Madison","University of Wisconsin, Madison",61,0,1,active_comparator,5,degarelix;flt pet/ct,cemiplimab;degarelix;fianlimab;flt pet/ct;nivolumab;ptvg-ar,PD-1,Monoclonal Antibody,AR;CD30,1,1,0,0,0,0,0,0,0
NCT05000294,Atezolizumab Plus Tivozanib in Immunologically Cold Tumor Types,PHASE1;PHASE2,Phase 2,RECRUITING,29,University of Florida,University of Florida,28,0,1,single_arm,1,atezolizumab;tivozanib,atezolizumab;tivozanib,PD-L1,Monoclonal Antibody,CMMRD;HER2;MET;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,0,0,0,1,0,0,1
NCT05004285,Evaluate the Clinical Usefulness of [F-18]Florastamin PET/CT Imaging Diagnosis Compared to MRI Diagnosis,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,398,FutureChem,FutureChem,5,1,0,single_arm,1,[f-18]florastamin,,,,,0,0,0,0,0,0,0,0,0
NCT05011188,FOR46 in Combination With Enzalutamide in Patients With Metastatic Castration Resistant Prostate Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,44,Rahul Aggarwal,Rahul Aggarwal,7,0,0,multi_experimental,2,enzalutamide;for46;pegfilgrastim,blood samples;enzalutamide;for46;pegfilgrastim,CD46,ADC,,1,1,0,0,0,0,0,0,0
NCT05032040,A Study of XmAb20717 (Vudalimab)in Patients With Selected Advanced Gynecologic and Genitourinary Malignancies,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,170,"Xencor, Inc.",Xencor,19,1,0,single_arm,1,vudalimab,vudalimab,PD-1,Bispecific Antibody,CDK12;MMR;MSI;MSI-H;PD-L1;dMMR,1,1,1,0,0,1,0,1,1
NCT05057013,A Phase I/IIa Trial of HMBD-001 in Advanced HER3 Positive Solid Tumours,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,81,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,2,,hmbd-001;hmbd-001 and enzalutamide,HER3,Monoclonal Antibody,HER3,1,1,0,0,0,0,0,1,0
NCT05059236,A Study to Learn How Well Darolutamide Administered Together With Androgen Deprivation Therapy (ADT) Works in Men With Metastatic Hormone-sensitive Prostate Cancer. Results Will be Compared With ADT Alone From a Previously Conducted Study.,PHASE2,Phase 2,COMPLETED,223,Bayer,Bayer,283,1,1,single_arm,1,adt;darolutamide (bay1841788;nubeqa),adt;darolutamide (bay1841788;nubeqa),AR,Small Molecule,AR;MET;PSA,0,1,1,0,0,0,0,0,1
NCT05067140,A Study of ARV-766 Given by Mouth in Men With Metastatic Prostate Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,164,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,3,androgen deprivation therapy (adt);arv-766,abiraterone;androgen deprivation therapy (adt);arv-766;corticosteroid (e.g.;prednisone/prednisolone),,,,0,1,0,0,0,0,0,0,0
NCT05079698,A Study of Stereotactic Body Radiotherapy and 177Lu-PSMA-617 for the Treatment of Prostate Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,29,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,177lu-psma-617;stereotactic body radiotherapy (sbrt),177lu-psma-617;stereotactic body radiotherapy (sbrt),PSMA,Radiopharmaceutical,PSMA,0,1,0,0,1,0,0,1,1
NCT05104515,First-in-human Study of OVM-200 as a Therapeutic Cancer Vaccine,PHASE1,Phase 1,RECRUITING,36,Oxford Vacmedix UK Ltd.,Oxford Vacmedix UK,1,1,0,single_arm,1,ovm-200,ovm-200,SURVIVIN,Peptide,PD-L1,0,1,0,0,0,0,0,0,0
NCT05107674,A Study of NX-1607 in Adults With Advanced Malignancies,PHASE1,Phase 1,RECRUITING,345,"Nurix Therapeutics, Inc.",Nurix Therapeutics,7,1,0,multi_experimental,12,nx-1607,nx-1607;paclitaxel,CBL-B,Small Molecule,PD-L1,0,1,0,0,0,0,0,1,0
NCT05113537,Abemaciclib Before 177Lu-PSMA-617 for the Treatment of Metastatic Castrate Resistant Prostate Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,30,Vadim S Koshkin,Vadim S Koshkin,2,0,1,multi_experimental,2,abemaciclib;lutetium lu 177-psma-617,abemaciclib;lutetium lu 177-psma-617,ER,Small Molecule,ER;HER2,0,1,0,0,1,0,0,0,1
NCT05116475,Evaluation of dAroLutamide Addition to anDrogen Deprivation Therapy and radIatioN Therapy in Newly Diagnosed Prostate Cancer With Pelvic Lymph Nodes Metastases,PHASE3,Phase 3,RECRUITING,152,Association Pour La Recherche des Thérapeutiques Innovantes en Cancérologie,Association Pour La Recherche des Thérapeutiques Innovantes en Cancérologie,2,0,1,placebo_comparator,2,placebo of darolutamide,darolutamide,AR,Small Molecule,AR,0,1,0,0,1,0,0,0,1
NCT05125016,A Trial to Find Out if REGN4336 is Safe and How Well it Works Alone and in Combination With REGN5678 for Adult Participants With Advanced Prostate Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,228,Regeneron Pharmaceuticals,Regeneron,95,1,1,multi_experimental,2,regn4336,regn4336;regn5678,PSMA,Bispecific Antibody,PSMA,1,1,0,0,1,0,0,0,1
NCT05171816,Study on Olaparib Plus Abiraterone as First-line Therapy in Men With Metastatic Castration-resistant Prostate Cancer (China Cohort),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,110,AstraZeneca,AstraZeneca,780,1,1,placebo_comparator,2,abiraterone acetate,abiraterone acetate;olaparib,PARP,Small Molecule,BRCA1;BRCA2;biomarker,0,1,0,1,0,0,1,0,1
NCT05176483,Study of Zanzalintinib in Combination With Immuno-Oncology or Other Agents in Participants With Solid Tumors,PHASE1,Phase 1,RECRUITING,1394,Exelixis,Exelixis,52,1,0,multi_experimental,9,zanzalintinib,ddi probe cocktail;docetaxel;ipilimumab;nivolumab;nivolumab + relatlimab;zanzalintinib,EGFR,Small Molecule,PD-L1;biomarker,0,1,1,0,0,0,1,1,1
NCT05189457,"First Strike, Second Strike Therapies for High Risk Metastatic Castration Sensitive Prostate Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,32,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,single_arm,1,docetaxel;luteinizing hormone releasing hormone;new hormonal agent;tislelizumab,docetaxel;luteinizing hormone releasing hormone;new hormonal agent;tislelizumab,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,0,0,0,0,0,0,0
NCT05191680,TherApeutics in Early ProState Cancer (TAPS02),PHASE2,Phase 2,RECRUITING,90,Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospitals NHS Foundation Trust,7,0,1,placebo_comparator,3,,apalutamide oral tablet [erleada],AR,Small Molecule,,0,0,1,0,0,0,0,0,1
NCT05204927,177Lu-PSMA-I&T for Metastatic Castration-Resistant Prostate Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,439,Curium US LLC,Curium US,4,1,0,active_comparator,2,abiraterone with prednisone or enzalutamide,177lu-psma-i&t,PSMA,Radiopharmaceutical,AR;PSMA,0,1,1,1,1,0,0,1,1
NCT05215574,Study of NGM831 as Monotherapy and in Combination With Pembrolizumab or Pembrolizumab and NGM438 in Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,130,"NGM Biopharmaceuticals, Inc",NGM Biopharmaceuticals,6,1,1,multi_experimental,3,,ngm831;ngm831 and ngm438 plus pembrolizumab (keytruda);ngm831 plus pembrolizumab (keytruda),ILT3,Monoclonal Antibody,,1,1,0,0,0,0,0,0,0
NCT05219500,Targeted Alpha Therapy With 225Actinium-Prostate Specific Membrane Antigen (PSMA)-I&T of Castration-resISTant Prostate Cancer (TATCIST).,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,115,Fusion Pharmaceuticals Inc.,Fusion Pharmaceuticals,5,1,0,single_arm,1,fpi-2265,fpi-2265,PSMA,Radiopharmaceutical,PSMA,0,1,1,1,1,0,0,0,1
NCT05245006,PET Imaging Study of 89Zr-DFO-YS5 in Men With Prostate Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,30,"Robert Flavell, MD, PhD","Robert Flavell, MD, PhD",4,0,0,multi_experimental,3,89zr-dfo-ys5;positron emission tomography (pet)/computerized tomography (ct);positron emission tomography (pet)/magnetic resonance imaging (mri),89zr-dfo-ys5;positron emission tomography (pet)/computerized tomography (ct);positron emission tomography (pet)/magnetic resonance imaging (mri);ys5 antibody,CD46,Radiopharmaceutical,CD46;biomarker,0,1,0,0,0,0,0,0,0
NCT05283330,Safety and Tolerability of ²¹²Pb-DOTAM-GRPR1 in Adult Subjects With Recurrent or Metastatic GRPR-expressing Tumors,PHASE1,Phase 1,RECRUITING,48,"Orano Med Theranostics, SAS",Orano Med Theranostics,1,1,0,single_arm,1,²¹²pb-dotam-grpr1,²¹²pb-dotam-grpr1,GRPR,Radiopharmaceutical,ER;GRPR;HER2,0,1,0,0,0,0,0,0,0
NCT05288166,A Study of Abemaciclib (LY2835219) With Abiraterone in Men With Prostate Cancer That Has Spread to Other Parts of the Body and is Expected to Respond to Hormonal Treatment (Metastatic Hormone-Sensitive Prostate Cancer),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,925,Eli Lilly and Company,Eli Lilly,535,1,1,active_comparator,2,abiraterone;placebo for abemaciclib;prednisone or prednisolone,abemaciclib;abiraterone;prednisone or prednisolone,ER,Small Molecule,ER;HER2,0,1,0,0,0,0,0,0,0
NCT05346848,Randomized Phase II Trial on Short Term Darolutamide Concomitant to Radiation Therapy for Patients With Intermediate Unfavorable Risk Prostate Cancer,PHASE2,Phase 2,RECRUITING,62,Institut Bergonié,Institut Bergonié,27,0,1,multi_experimental,2,association of darolutamide and ebrt,association of darolutamide and ebrt,AR,Small Molecule,,0,1,0,0,0,0,0,0,0
NCT05348577,Study of Capivasertib + Docetaxel vs Placebo + Docetaxel as Treatment for Metastatic Castration Resistant Prostate Cancer (mCRPC),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1035,AstraZeneca,AstraZeneca,780,1,1,placebo_comparator,2,docetaxel,capivasertib;docetaxel,AKT1,Small Molecule,PIK3CA;PTEN,0,1,0,0,0,0,0,1,0
NCT05367440,Study of AZD5305 When Given in Combination With New Hormonal Agents in Patients With Metastatic Prostate Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,174,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,4,,abiraterone acetate;apalutamide;azd5305;darolutamide;enzalutamide,PARP,Small Molecule,ATM;BARD1;BRCA1;BRCA2;CDK12;HRR;PALB2;RA,0,1,0,0,1,0,0,1,1
NCT05381103,PSMA-PET to Guide Prostatectomy,PHASE2;PHASE3,Phase 3,RECRUITING,288,"Five Eleven Pharma, Inc.",Five Eleven Pharma,4,1,0,active_comparator,2,diagnostic test: soc mri,diagnostic test: psma-pet and soc mri,,Radiopharmaceutical,,0,1,0,0,0,0,0,0,0
NCT05404139,Duration of Androgen Receptor Pathway Inhibitor and ADT With Metastasis Directed Therapy in Oligometastatic Cancer of the Prostate (DIRECT),PHASE2,Phase 2,RECRUITING,352,"University Health Network, Toronto","University Health Network, Toronto",91,0,1,multi_experimental,3,abiraterone;standard of care sbrt and adt,abiraterone;atorvastatin;standard of care sbrt and adt,CYP17A1,Small Molecule,,0,1,0,0,1,0,0,0,1
NCT05413421,Study of ORIC-944 in Patients With Metastatic Prostate Cancer,PHASE1,Phase 1,RECRUITING,275,ORIC Pharmaceuticals,ORIC Pharmaceuticals,7,1,0,multi_experimental,3,oric-944,abiraterone acetate (zytiga);apalutamide (erleada);darolutamide (nubeqa);enzalutamide (xtandi);oric-944,PRC2,Small Molecule,AR-V7;H3K27ME3;PSA,0,1,0,0,0,0,0,1,0
NCT05413850,Anti-tumour Activity of (177Lu) rhPSMA-10.1 Injection,PHASE1;PHASE2,Phase 2,RECRUITING,82,Blue Earth Therapeutics Ltd,Blue Earth Therapeutics,2,1,0,multi_experimental,5,lutetium (177lu) rhpsma-10.1 injection,diagnostic test: 18f-rhpsma-7.3 injection (in phase 1 only);lutetium (177lu) rhpsma-10.1 injection,PSMA,Radiopharmaceutical,PSMA,0,1,0,0,1,0,0,0,1
NCT05422911,"Abiraterone, Enzalutamide, or Apalutamide in Castrate-sensitive Prostate Cancer.",PHASE2,Phase 2,RECRUITING,192,Sun Pharmaceutical Industries Limited,Sun Pharmaceutical Industries,9,1,0,active_comparator,2,abiraterone acetate;apalutamide;enzalutamide,,CYP17A1,Small Molecule,,0,1,1,0,0,0,0,0,1
NCT05488548,Dual BET and CBP/p300 Inhibitor in Patients With Targeted Advanced Solid Tumors and Hematological Malignancies,PHASE1,Phase 1,RECRUITING,75,"Epigenetix, Inc.",Epigenetix,1,1,0,multi_experimental,3,ep31670,ep31670,BET,Small Molecule,,0,1,0,0,0,0,0,1,0
NCT05489211,Study of Dato-DXd as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Tumours (TROPION-PanTumor03),PHASE2,Phase 2,RECRUITING,454,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,14,datopotamab deruxtecan (dato-dxd),bevacizumab;capecitabine;carboplatin;cisplatin;datopotamab deruxtecan (dato-dxd);fluorouracil;prednisone/ prednisolone;rilvegostomig;volrustomig,VEGF/VEGFR,Monoclonal Antibody,TROP2;genomic,1,1,0,0,0,0,0,0,0
NCT05496959,"177-Lutetium-PSMA Before Stereotactic Body Radiotherapy for the Treatment of Oligorecurrent Prostate Cancer, The LUNAR Study",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,93,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,1,active_comparator,2,quality-of-life assessment;stereotactic body radiation therapy,lutetium lu-177 pnt2002;quality-of-life assessment;stereotactic body radiation therapy,PSMA,Radiopharmaceutical,PSMA,0,1,0,0,1,0,0,0,1
NCT05498272,Study of Neoadjuvant PARP Inhibition Followed by Radical Prostatectomy in Patients With Unfavorable Intermediate-Risk or High-Risk Prostate Cancer With Select HRR Gene Alterations,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,32,"Rana McKay, MD","Rana McKay, MD",2,0,1,single_arm,1,lhrh agonist;olaparib,lhrh agonist;olaparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0,0,0
NCT05502315,Study of Cabozantinib and Nivolumab in Metastatic Castration Resistant Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,47,"Rana McKay, MD","Rana McKay, MD",2,0,1,single_arm,1,cabozantinib;nivolumab,cabozantinib;nivolumab,MET,Small Molecule,AR;PD-L1,0,1,1,0,1,0,0,0,1
NCT05519449,Study of JANX007 in Subjects With Metastatic Castration-Resistant Prostate Cancer (ENGAGER-PSMA-01),PHASE1,Phase 1,RECRUITING,272,Janux Therapeutics,Janux Therapeutics,4,1,0,multi_experimental,4,janx007,darolutamide;janx007,,,,0,1,0,0,1,0,0,0,1
NCT05546268,Study of Oral MRT-2359 in Selected Cancer Patients,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,174,"Monte Rosa Therapeutics, Inc",Monte Rosa Therapeutics,2,1,0,multi_experimental,6,oral mrt-2359,oral mrt-2359,MYC,Small Molecule,HER2;MYC;biomarker,0,1,0,0,0,0,0,0,0
NCT05547061,"A Phase 1/2 Clinical Trial to Evaluate the Safety, Tolerability, Dosimetry, and Anti-tumor Activity of Ga-68-NGUL / Lu-177-DGUL in Patients With Metastatic Castration-resistant Prostate Cancer (mCRPC) Refractory to Standard Therapy",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,91,"Cellbion Co., Ltd.",Cellbion,2,1,0,multi_experimental,4,ga-68-ngul,ga-68-ngul;lu-177-dgul,PSMA,Radiopharmaceutical,PSMA,0,1,0,0,1,0,0,0,1
NCT05558007,Safety and Efficacy Evaluation of BZ371A Topically Applied on Prostatectomized Patients,PHASE2,Phase 2,RECRUITING,72,Biozeus Biopharmaceutical S.A.,Biozeus Biopharmaceutical,2,1,0,active_comparator,3,bz371a;tadalafil;topical placebo,bz371a;oral placebo,,,PR,0,1,0,0,0,0,0,0,0
NCT05560659,Lu-PSMA for Oligometastatic Prostate Cancer Treated With STereotactic Ablative Radiotherapy,PHASE2,Phase 2,RECRUITING,92,"Peter MacCallum Cancer Centre, Australia","Peter MacCallum Cancer Centre, Australia",16,0,0,multi_experimental,2,177lu-psma,177lu-psma,PSMA,Radiopharmaceutical,PSMA,0,1,0,0,1,0,0,0,1
NCT05568550,Pembro With Radiation With or Without Olaparib,PHASE2,Phase 2,RECRUITING,64,Zin W Myint,Zin W Myint,1,0,1,multi_experimental,2,androgen deprivation therapy;pembrolizumab;radiation therapy,androgen deprivation therapy;olaparib;pembrolizumab;radiation therapy,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0
NCT05613894,Dose-Escalation Study of Cabozantinib in Combination With Lutetium-177 (177Lu)-PSMA-617 in Patients With Metastatic Castration-Resistant Prostate Cancer,PHASE1,Phase 1,RECRUITING,33,University of Utah,University of Utah,55,0,0,multi_experimental,2,cabozantinib,cabozantinib,MET,Small Molecule,PD-L1,0,1,0,0,1,0,0,0,1
NCT05652686,A Study of Peluntamig (PT217) in Patients With Neuroendocrine Carcinomas Expressing DLL3 (the SKYBRIDGE Study),PHASE1;PHASE2,Phase 2,RECRUITING,203,Phanes Therapeutics,Phanes Therapeutics,3,1,1,multi_experimental,4,peluntamig (pt217),atezolizumab;carboplatin + etoposide;irinotecan (drug);lurbinectedin;paclitaxel.;peluntamig (pt217);topotecan,DLL3,ADC,DLL3;PR;biomarker,1,1,0,0,0,0,1,1,0
NCT05656573,CART-PSMA Cells for Advanced Prostate Cancer,PHASE1,Phase 1,RECRUITING,20,Nova Therapeutics LLC,Nova Therapeutics,1,1,0,single_arm,1,cart-psma cells,cart-psma cells,PSMA,CAR-T,PSMA,1,1,0,0,1,0,0,0,1
NCT05656794,Consolidative Prostate Radiotherapy in Metastatic Prostate Cancer,PHASE2,Phase 2,RECRUITING,40,"University Health Network, Toronto","University Health Network, Toronto",91,0,0,multi_experimental,2,radiotherapy,radiotherapy,,,,0,1,0,0,0,0,0,0,0
NCT05658003,A Study Evaluating [177Lu]Lu-PSMA-617 vs. a Change of Androgen Receptor-directed Therapy in Taxane Treatment Naive Chinese Male Patients With Progressive Metastatic Castrate Resistant Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,63,Novartis Pharmaceuticals,Novartis,836,1,1,active_comparator,2,[68ga]ga-psma-11;ardt,[177lu]lu-psma-617;[68ga]ga-psma-11,PSMA,Radiopharmaceutical,PSMA,0,1,1,0,1,0,0,0,1
