nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,BRCA/HRD,platinum_status,PD-L1,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT04498117,Oregovomab Plus Chemo in Newly Diagnosed Patients With Advanced Epithelial Ovarian Cancer Following Optimal Debulking Surgery,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,615,CanariaBio Inc.,CanariaBio,5,1,0,placebo_comparator,4,carboplatin;paclitaxel,carboplatin;oregovomab;paclitaxel,CA125,Monoclonal Antibody,MET;MUC1,1,1,1,0,0,0,0,1,BRCA/HRD+,metastatic · adenoca.
NCT04502602,Niraparib and Neratinib in Advanced Solid Tumors With Expansion Cohort in Advanced Ovarian Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,18,Virginia Commonwealth University,Virginia Commonwealth University,13,0,1,multi_experimental,6,,neratinib;neratinib at rp2d;niraparib;niraparib at rp2d,HER2,Small Molecule,HER2,0,1,1,1,0,0,0,1,"BRCA/HRD+, platinum-status",metastatic · measurable (RECIST)
NCT04503265,A Trial of AMXI-5001 for Treatment in Patients With Advanced Malignancies,PHASE1;PHASE2,Phase 2,RECRUITING,122,"AtlasMedx, Incorporated",AtlasMedx,1,1,0,single_arm,1,amxi-5001:dose escalation phase i;amxi-5001:dose expansion phase ii,amxi-5001:dose escalation phase i;amxi-5001:dose expansion phase ii,,,,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · ECOG 0-1
NCT04511871,A Phase I Trial of CCT303-406 in Patients With Relapsed or Refractory HER2 Positive Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,12,"Shanghai PerHum Therapeutics Co., Ltd.",Shanghai PerHum Therapeutics,4,1,0,single_arm,1,cct303-406,cct303-406,HER2,CAR-T,HER2,1,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04516447,A Study of Azenosertib (ZN-c3) in Patients With Ovarian Cancer,PHASE1,Phase 1,RECRUITING,172,"K-Group, Beta, Inc., a wholly owned subsidiary of Zentalis Pharmaceuticals, Inc","K-Group, Beta, Inc., a wholly owned subsidiary of Zentalis Pharmaceuticals",8,1,0,multi_experimental,5,azenosertib,azenosertib;bevacizumab;carboplatin;gemcitabine;paclitaxel;pegylated liposomal doxorubicin,WEE1,Small Molecule,Cyclin E1;TP53;cfDNA,0,1,0,1,0,1,1,1,platinum-status,metastatic · 1st-line · adenoca.
NCT04520139,Effect of NAC on Preventing Chemo-Related Cognitive Impairments in Ovarian Ca Pts Treated W/ PBT,PHASE1;PHASE2,Phase 2,RECRUITING,102,"University of California, Irvine","University of California, Irvine",22,0,0,multi_experimental,2,n-acetyl-cysteine,n-acetyl-cysteine,,,,0,1,0,0,0,0,0,0,,metastatic · ECOG 2
NCT04553133,PF-07104091 as a Single Agent and in Combination Therapy,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,157,Pfizer,Pfizer,687,1,1,multi_experimental,7,,pf-0704091 + fulvestrant (post cdk4/6);pf-07104091 + fulvestrant (post cdk4/6);pf-07104091 + palbociclib + fulvestrant;pf-07104091 + palbociclib + letrozole;pf-07104091 monotherapy dose escalation;pf-07104091 monotherapy dose expansion (ovarian);pf-07104091 monotherapy dose expansion (sclc),CDK2,Small Molecule,HER2;ctDNA,0,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+ · measurable (RECIST)
NCT04561362,Study BT8009-100 in Subjects With Nectin-4 Expressing Advanced Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,329,BicycleTx Limited,BicycleTx,8,1,0,multi_experimental,13,bt8009,bt8009;pembrolizumab,NECTIN4,Monoclonal Antibody,ALK;BRAF;ER;HER2;KRAS;MET;NECTIN-4;PR;ROS1,1,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04575961,Study of Pembrolizumab Combination With Chemotherapy in Platinum-sensitive Recurrent Low-grade Serous Ovarian Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,33,North Eastern German Society of Gynaecological Oncology,North Eastern German Society of Gynaecological Oncology,4,0,1,single_arm,1,pembrolizumab,,PD-1,Monoclonal Antibody,PD-L1,1,0,0,1,1,1,1,1,"platinum-status, PD-L1+",metastatic · 1st-line · squamous
NCT04585750,The Evaluation of PC14586 in Patients With Advanced Solid Tumors Harboring a TP53 Y220C Mutation (PYNNACLE),PHASE1;PHASE2,Phase 2,RECRUITING,300,"PMV Pharmaceuticals, Inc",PMV Pharmaceuticals,2,1,1,multi_experimental,9,rezatapopt,pembrolizumab;rezatapopt,PD-1,Monoclonal Antibody,KRAS;PD-L1,1,1,0,0,1,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0
NCT04590326,"A Study to Find Out How Safe REGN5668 is and How Well it Works In Adult Women When Given With Either Cemiplimab, or Cemiplimab + Fianlimab, or Ubamatamab",PHASE1;PHASE2,Phase 2,RECRUITING,612,Regeneron Pharmaceuticals,Regeneron,95,1,1,multi_experimental,2,regn5668,cemiplimab;cemiplimab + fianlimab [fixed dose combination (fdc)];regn5668;sarilumab;ubamatamab,MUC16,Bispecific Antibody,MUC16,1,1,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT04602377,Addition of Pembrolizumab to the Standard of Care Chemotherapy in Patient With SCCOHT,PHASE2,Phase 2,RECRUITING,27,ARCAGY/ GINECO GROUP,ARCAGY/ GINECO GROUP,16,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,1,0,1,PD-L1+,1st-line · squamous
NCT04606914,"Study of Carboplatin and Mirvetuximab Soravtansine in First-Line Treatment of Patients Receiving Neoadjuvant Chemotherapy With Advanced-Stage Ovarian, Fallopian Tube or Primary Peritoneal Cancer",PHASE2,Phase 2,RECRUITING,70,University of Alabama at Birmingham,University of Alabama at Birmingham,65,0,1,multi_experimental,2,mirvetuximab soravtansine (mirv; imgn853),mirvetuximab soravtansine (mirv; imgn853),VEGF/VEGFR,ADC,,1,1,0,0,0,0,0,0,,metastatic · squamous
NCT04625270,A Study of Avutometinib (VS-6766) v. Avutometinib (VS-6766) + Defactinib in Recurrent Low-Grade Serous Ovarian Cancer With and Without a KRAS Mutation,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,225,"Verastem, Inc.",Verastem,25,1,0,multi_experimental,4,avutometinib (vs-6766) and defactinib,avutometinib (vs-6766);avutometinib (vs-6766) and defactinib,BRAF,Small Molecule,BRAF-MT;KRAS-MT,0,1,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT04641247,A Long-term Treatment Extension Study of Niraparib in Participants Who Completed a Prior GlaxoSmithKline/TESARO-sponsored Niraparib Study,PHASE2,Phase 2,RECRUITING,37,GlaxoSmithKline,GSK,468,1,1,single_arm,1,niraparib,niraparib,PARP,Small Molecule,BRCA1;BRCA2;HRD,0,1,0,0,0,0,0,0,,
NCT04644068,Study of AZD5305 as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,702,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,6,azd5305,azd5305;camizestrant;carboplatin;dato-dxd;paclitaxel;t- dxd,PARP,Small Molecule,,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · ECOG 0
NCT04644289,WoO: Window of Opportunity Trial of Olaparib and Durvalumab in Histologically Proven EOC,PHASE2,Phase 2,RECRUITING,60,AGO Research GmbH,AGO Research,7,1,0,multi_experimental,2,olaparib,,PARP,Small Molecule,BRCA1;BRCA2;PD-L1;biomarker,0,0,1,0,1,1,0,1,"BRCA/HRD+, PD-L1+",metastatic · 1st-line · ductal
NCT04657068,A Study of ART0380 for the Treatment of Advanced or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,542,Artios Pharma Ltd,Artios Pharma,4,1,0,multi_experimental,10,art0380,art0380;gemcitabine;irinotecan,ATR,Small Molecule,,0,1,1,1,0,1,1,1,"BRCA/HRD+, platinum-status",metastatic · 1st-line · squamous · measurable (RECIST)
NCT04673448,"Niraparib and TSR-042 for the Treatment of BRCA-Mutated Unresectable or Metastatic Breast, Pancreas, Ovary, Fallopian Tube, or Primary Peritoneal Cancer",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,18,University of Washington,University of Washington,74,0,1,single_arm,1,biopsy;biospecimen collection;computed tomography;dostarlimab;magnetic resonance imaging;niraparib,biopsy;biospecimen collection;computed tomography;dostarlimab;magnetic resonance imaging;niraparib,PD-1,Monoclonal Antibody,ER;HER2;MSI-H;PD-L1;PR;dMMR,1,1,1,0,1,0,0,1,"BRCA/HRD+, PD-L1+",metastatic · squamous · measurable (RECIST)
NCT04686682,"A First-in-Human, JAB-8263 in Adult Patients With Advanced Tumors",PHASE1;PHASE2,Phase 2,RECRUITING,152,"Jacobio Pharmaceuticals Co., Ltd.",Jacobio Pharmaceuticals,13,1,0,multi_experimental,2,jab-8263,jab-8263,,,,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT04706962,TH1902 in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,70,Theratechnologies,Theratechnologies,1,1,0,single_arm,1,th1902,th1902,SORT1,Peptide,MET;SORT1,0,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+ · measurable (RECIST)
NCT04707248,A Study of DS-6000a in Subjects With Advanced Renal Cell Carcinoma and Ovarian Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,179,Daiichi Sankyo,Daiichi Sankyo,178,1,1,multi_experimental,3,ds-6000a,ds-6000a,CDH6,ADC,CDH6,1,1,0,0,0,0,0,0,,metastatic
NCT04713514,OSE2101 Alone or in Combination With Pembrolizumab vs BSC in Patient With Platinum-sensitive Recurrent OC,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,180,ARCAGY/ GINECO GROUP,ARCAGY/ GINECO GROUP,16,0,1,multi_experimental,3,ose2101,ose2101;pembrolizumab,PD-1,Cell Therapy,biomarker,1,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04752826,BI-1808 as a Single Agent and With Pembrolizumab (KEYTRUDA® ) in Treatment of Advanced Malignancies(Keynote-D20),PHASE1;PHASE2,Phase 2,RECRUITING,250,BioInvent International AB,BioInvent International,10,1,1,multi_experimental,5,bi-1808,bi-1808;paclitaxel;pembrolizumab (keytruda ),TNFR2,Monoclonal Antibody,BRAF;PD-L1,1,1,0,1,0,0,0,1,platinum-status,metastatic
NCT04802876,Efficacy of Tislelizumab and Spartalizumab Across Multiple Cancer-types in Patients with PD1-high MRNA Expressing Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,184,SOLTI Breast Cancer Research Group,SOLTI Breast Cancer Research Group,18,0,1,multi_experimental,3,,spartalizumab;tislelizumab,PD-1,Monoclonal Antibody,BRAF,1,1,0,0,1,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT04834544,A Study of Maintenance DCVAC/OvCa After First-line Chemotherapy Added Standard of Care,PHASE2,Phase 2,RECRUITING,75,Peking University Third Hospital,Peking University Third Hospital,1,0,0,placebo_comparator,2,,dcvac/ovca,,Cell Therapy,PD-L1,1,0,1,0,1,1,0,1,"BRCA/HRD+, PD-L1+",metastatic · 1st-line
NCT04876456,A Phase II Trial of Cabozantinib With Patients With Refractory GCTs,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,50,Jennifer King,Jennifer King,1,0,0,single_arm,1,cabozantinib,cabozantinib,MET,Small Molecule,PD-L1,0,1,0,0,0,1,1,0,,metastatic · 1st-line · squamous
NCT04884360,D9319C00001- 1L OC Mono Global RCT,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,366,AstraZeneca,AstraZeneca,780,1,1,placebo_comparator,2,matching placebo,olaparib,PARP,Small Molecule,BRCA1;BRCA2;MET,0,1,1,0,0,1,0,1,BRCA/HRD+,metastatic · 1st-line · ductal · measurable (RECIST)
NCT04895709,A Study of BMS-986340 as Monotherapy and as Combination Therapy in Participants With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,1109,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,multi_experimental,9,bms-986340,bms-936558-01;bms-986340;docetaxel;pumitamig,PD-1,Monoclonal Antibody,PD-L1;biomarker;biomarker analysis,1,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT04918186,Immunotherapy Platform Study in Platinum Resistant High Grade Serous Ovarian Cancer,PHASE2,Phase 2,RECRUITING,60,Canadian Cancer Trials Group,Canadian Cancer Trials Group,48,0,1,multi_experimental,3,,ba3011;ba3021;durvalumab;enb003;toripalimab,PD-L1,Monoclonal Antibody,EGFR;MET;biomarker,1,1,0,1,0,0,0,1,platinum-status,metastatic · measurable (RECIST)
NCT04921527,Chiauranib Plus Weekly Paclitaxel in Patients with Platinum-refractory or Platinum-resistant Recurrent Ovarian Cancer,PHASE3,Phase 3,RECRUITING,454,"Chipscreen Biosciences, Ltd.",Chipscreen Biosciences,25,1,0,placebo_comparator,2,paclitaxel,chiauranib;paclitaxel,VEGF/VEGFR,Small Molecule,,0,1,0,1,1,0,1,1,"platinum-status, PD-L1+",metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04931342,A Study Evaluating the Efficacy and Safety of Biomarker-Driven Therapies in Patients With Persistent or Recurrent Rare Epithelial Ovarian Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,176,Hoffmann-La Roche,Roche/Genentech,922,1,1,multi_experimental,11,,abemaciclib;atezolizumab;bevacizumab;cobimetinib;cyclophosphamide;giredestrant;inavolisib;ipatasertib;letrozole;luteinizing hormone-releasing hormone (lhrh) agonists;olaparib;paclitaxel;palbociclib;trastuzumab emtansine,AKT1,Small Molecule,ER;biomarker;biomarker-selected,0,1,0,1,0,1,1,1,platinum-status,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04938583,Oregovomab in Combination With Bevacizumab Plus Chemo in BRCA Wild Type Platinum Sensitive Recurrent Ovarian Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,54,CanariaBio Inc.,CanariaBio,5,1,0,single_arm,1,bevacizumab;carboplatin;oregovomab;paclitaxel,bevacizumab;carboplatin;oregovomab;paclitaxel,CA125,Monoclonal Antibody,MUC1,1,1,1,0,0,0,1,1,BRCA/HRD+,recurrent · 2nd-line+ · adenoca. · measurable (RECIST)
NCT04956640,Study of LY3537982 in Cancer Patients With a Specific Genetic Mutation (KRAS G12C),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,540,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,3,ly3537982,carboplatin;cetuximab;cisplatin;ly3537982;pembrolizumab;pemetrexed,KRAS,Small Molecule,KRAS,0,1,0,0,0,1,0,0,,metastatic · 1st-line · measurable (RECIST)
NCT04969315,TT-4 and TT-10 as Single Agents and in Combination in Subjects With Advanced Selected Solid Tumors and Pleural Mesothelioma,PHASE1;PHASE2,Phase 2,RECRUITING,35,Portage Biotech,Portage Biotech,1,1,0,multi_experimental,3,,tt-10;tt-4,ADORA2A,Small Molecule,MET,0,1,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST) · ECOG 2
NCT04969835,"A Study Evaluating the Safety, Pharmacokinetics and Early Efficacy of AVA6000 in Solid Tumours",PHASE1,Phase 1,RECRUITING,158,Avacta Life Sciences Ltd,Avacta Life Sciences,2,1,0,multi_experimental,4,ava6000,ava6000,FAP,ADC,FAP;PR,1,1,1,0,0,1,1,1,BRCA/HRD+,metastatic · 1st-line · measurable (RECIST)
NCT05000294,Atezolizumab Plus Tivozanib in Immunologically Cold Tumor Types,PHASE1;PHASE2,Phase 2,RECRUITING,29,University of Florida,University of Florida,28,0,1,single_arm,1,atezolizumab;tivozanib,atezolizumab;tivozanib,PD-L1,Monoclonal Antibody,CMMRD;HER2;MET;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,0,1,1,0,0,1,"platinum-status, PD-L1+",metastatic · adenoca. · measurable (RECIST)
NCT05005403,"Study to Assess Adverse Events and Pharmacokinetics in Adult Participants With Non-Small Cell Lung Cancer, Head and Neck Squamous Cell Carcinoma and Other Solid Tumors, Receiving Intravenous Infusion of Azirkitug Alone or in Combination(s) With Budigalimab, Bevacizumab, or Telisotuzumab Adizutecan",PHASE1,Phase 1,RECRUITING,694,AbbVie,AbbVie,274,1,1,multi_experimental,17,azirkitug,azirkitug;bevacizumab;budigalimab;telisotuzumab adizutecan,PD-1,Monoclonal Antibody,BRAF;HER2;MSI;MSI-H;PD-L1,1,1,0,1,1,1,0,1,"platinum-status, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT05032040,A Study of XmAb20717 (Vudalimab)in Patients With Selected Advanced Gynecologic and Genitourinary Malignancies,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,170,"Xencor, Inc.",Xencor,19,1,0,single_arm,1,vudalimab,vudalimab,PD-1,Bispecific Antibody,CDK12;MMR;MSI;MSI-H;PD-L1;dMMR,1,1,0,0,1,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT05041257,"Mirvetuximab Soravtansine Monotherapy in Platinum-Sensitive Epithelial, Peritoneal, and Fallopian Tube Cancers",PHASE2,Phase 2,COMPLETED,79,AbbVie,AbbVie,274,1,1,single_arm,1,mirvetuximab soravtansine,mirvetuximab soravtansine,FOLR1,ADC,FOLR1;PR,1,1,1,1,0,0,0,1,"BRCA/HRD+, platinum-status",metastatic · squamous · measurable (RECIST) · ECOG 0
NCT05043922,A Study to Evaluate the Efficacy and Safety of CYH33 in Patients With Recurrent/Persistent Ovary Clear Cell Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,93,"Haihe Biopharma Co., Ltd.",Haihe Biopharma,17,1,0,single_arm,1,cyh33,cyh33,PIK3CA,Small Molecule,PIK3CA,0,1,0,0,0,0,0,0,,metastatic · ECOG 1
NCT05057013,A Phase I/IIa Trial of HMBD-001 in Advanced HER3 Positive Solid Tumours,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,81,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,2,,hmbd-001;hmbd-001 and enzalutamide,HER3,Monoclonal Antibody,HER3,1,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca.
NCT05057715,huCART-meso + VCN-01 in Pancreatic and Ovarian Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,13,University of Pennsylvania,University of Pennsylvania,19,0,0,multi_experimental,5,hucart-meso cells;vcn-01,hucart-meso cells;vcn-01,,,,0,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT05059522,Continued Access Study for Participants Deriving Benefit in Pfizer-Sponsored Avelumab Parent Studies That Are Closing,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,77,Pfizer,Pfizer,687,1,1,multi_experimental,9,avelumab,avelumab;axitinib;cmp 001;lorlatanib;pemetrexed;pf04518600;talazoparib;utomilumab,PD-L1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,,
NCT05071937,ZEN003694 Combined With Talazoparib in Patients With Recurrent Ovarian Cancer,PHASE2,Phase 2,RECRUITING,33,"Alexander B Olawaiye, MD","Alexander B Olawaiye, MD",4,0,1,single_arm,1,talazoparib;zen003694,talazoparib;zen003694,BET,Small Molecule,,0,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+ · squamous · measurable (RECIST) · ECOG 0
NCT05075993,Study of LVGN3616 and LVGN6051±LVGN7409 in Combination With Nab-Paclitaxel or Bevacizumab and Cyclophosphamide in Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,352,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,multi_experimental,4,lvgn3616 + lvgn6051 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + nab-paclitaxel;lvgn3616 + lvgn6051 + nab-paclitaxel,lvgn3616 + lvgn6051 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + nab-paclitaxel;lvgn3616 + lvgn6051 + nab-paclitaxel,,,PD-L1;molecular profiling,0,1,0,0,1,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT05080946,Using Aspirin to Improve Immunological Features of Ovarian Tumors,EARLY_PHASE1,Phase 1,SUSPENDED,100,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,0,placebo_comparator,2,,aspirin,,,biomarker;biomarker analysis,0,0,0,0,0,1,0,0,,metastatic · 1st-line · measurable (RECIST)
NCT05081609,A Study to Investigate Safety and Tolerability of TransCon IL-2 β/γ Alone or in Combination With Pembrolizumab and/or TransCon TLR7/8 Agonist or Other Anticancer Therapies in Adult Participants With Locally Advanced or Metastatic Solid Tumor Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,320,Ascendis Pharma Oncology Division A/S,Ascendis Pharma Oncology Division A/S,2,1,0,multi_experimental,13,transcon il-2 β/γ,chemotherapy drug;pembrolizumab;surgery;transcon il-2 β/γ;transcon tlr7/8 agonist;trastuzumab;trastuzumab emtansine (t-dm1),IL-2,Peptide,ALC;CD25;CXCL10;IFN-γ;PD-L1;eosinophil,0,1,0,0,1,0,1,1,PD-L1+,metastatic · 2nd-line+
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,PHASE1;PHASE2,Phase 2,RECRUITING,115,"Medicenna Therapeutics, Inc.",Medicenna Therapeutics,2,1,1,single_arm,1,mdna11;pembrolizumab (keytruda),mdna11;pembrolizumab (keytruda),IL-2,Cell Therapy,MSI-H,1,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT05103683,First in Human Study of TORL-1-23 in Participants With Advanced Cancer,PHASE1,Phase 1,RECRUITING,90,"TORL Biotherapeutics, LLC",TORL Biotherapeutics,8,1,0,multi_experimental,2,torl-1-23,torl-1-23,CLDN6,ADC,Claudin 6,1,1,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05104515,First-in-human Study of OVM-200 as a Therapeutic Cancer Vaccine,PHASE1,Phase 1,RECRUITING,36,Oxford Vacmedix UK Ltd.,Oxford Vacmedix UK,1,1,0,single_arm,1,ovm-200,ovm-200,SURVIVIN,Peptide,PD-L1,0,1,0,0,1,0,0,1,PD-L1+,metastatic
NCT05107674,A Study of NX-1607 in Adults With Advanced Malignancies,PHASE1,Phase 1,RECRUITING,345,"Nurix Therapeutics, Inc.",Nurix Therapeutics,7,1,0,multi_experimental,12,nx-1607,nx-1607;paclitaxel,CBL-B,Small Molecule,PD-L1,0,1,0,1,1,0,1,1,"platinum-status, PD-L1+",metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05113368,Regorafenib Combined With Fulvestrant in Recurrent Low-Grade Serous Ovarian Cancer,PHASE2,Phase 2,RECRUITING,31,Sarah K. Lynam MD,Sarah K. Lynam MD,1,0,1,single_arm,1,fulvestrant;regorafenib,fulvestrant;regorafenib,VEGF/VEGFR,Small Molecule,,0,1,0,0,0,1,0,0,,metastatic · 1st-line · ductal · measurable (RECIST)
NCT05116189,Pembrolizumab/Placebo Plus Paclitaxel With or Without Bevacizumab for Platinum-resistant Recurrent Ovarian Cancer (MK-3475-B96/KEYNOTE-B96/ENGOT-ov65).,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,643,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,placebo_comparator,2,bevacizumab;docetaxel;paclitaxel;placebo for pembrolizumab,bevacizumab;docetaxel;paclitaxel;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,1,1,1,1,"platinum-status, PD-L1+",metastatic · 1st-line · measurable (RECIST)
NCT05123482,"A Phase I/IIa Study of AZD8205 Given Alone or Combined, in Participants With Advanced/Metastatic Solid Malignancies",PHASE1;PHASE2,Phase 2,RECRUITING,460,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,4,,azd8205;azd8205 and azd2936 (rilvegostomig);azd8205 and azd5305 (saruparib);azd8205 and azd5305 (saruparib) and azd2936 (rilvegostomig);azd8205 in combination with azd9574;azd8205 in combination with azd9574 plus rilvegostomig (azd2936),B7-H4,ADC,B7-H4,1,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05128825,"A Study of Azenosertib (ZN-c3) in Subjects With Platinum-Resistant High-Grade Serous Ovarian, Fallopian Tube or Primary Peritoneal Cancer",PHASE2,Phase 2,RECRUITING,310,"K-Group, Beta, Inc., a wholly owned subsidiary of Zentalis Pharmaceuticals, Inc","K-Group, Beta, Inc., a wholly owned subsidiary of Zentalis Pharmaceuticals",8,1,0,multi_experimental,5,azenosertib,azenosertib,WEE1,Small Molecule,Cyclin E1;TP53;cfDNA,0,1,1,1,0,0,1,1,"BRCA/HRD+, platinum-status",metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0-1
NCT05143970,A Phase 1 First-In-Human Study of the Anti-CD73 IPH5301 Alone or in Combination With Chemotherapy and Trastuzumab in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,27,Institut Paoli-Calmettes,Institut Paoli-Calmettes,12,0,0,single_arm,1,iph5301 alone or in combination with chemotherapy and trastuzumab,iph5301 alone or in combination with chemotherapy and trastuzumab,CD73,Monoclonal Antibody,ER;HER2;MET;PD-L1;PR,1,1,1,0,1,1,1,1,"BRCA/HRD+, PD-L1+",metastatic · 1st-line · ductal · measurable (RECIST)
NCT05199272,A Phase 1/2a Study of 23ME-00610 in Patients With Advanced Solid Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,141,"23andMe, Inc.",23andMe,2,1,0,multi_experimental,2,23me-00610,23me-00610,CD200R1,Monoclonal Antibody,CDX;MSI;MSI-H;TMB;TMB-H,1,1,0,1,0,0,0,1,platinum-status,metastatic · small-cell · measurable (RECIST)
NCT05200559,T-regulatory Cell Depletion With E7777 Combined With Pembrolizumab in Recurrent or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,25,"Alexander B Olawaiye, MD","Alexander B Olawaiye, MD",4,0,0,single_arm,1,e7777;pembrolizumab,e7777;pembrolizumab,PD-1,Monoclonal Antibody,MET;MMR;MSI;MSI-H;PD-L1;biomarker,1,1,0,1,1,0,1,1,"platinum-status, PD-L1+",metastatic · 2nd-line+ · small-cell · measurable (RECIST)
NCT05215574,Study of NGM831 as Monotherapy and in Combination With Pembrolizumab or Pembrolizumab and NGM438 in Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,130,"NGM Biopharmaceuticals, Inc",NGM Biopharmaceuticals,6,1,1,multi_experimental,3,,ngm831;ngm831 and ngm438 plus pembrolizumab (keytruda);ngm831 plus pembrolizumab (keytruda),ILT3,Monoclonal Antibody,,1,1,0,0,0,0,0,0,,metastatic
