nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,BRAF,NRAS,PD-L1,first_line,later_line,biomarker_selected
NCT04572451,Safety of SBRT With Anti-PD1 and Anti-IL-8 for the Treatment of Multiple Metastases in Advanced Solid Tumors and Melanoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,50,Yana Najjar,Yana Najjar,6,0,1,single_arm,1,bms-986253;nivolumab;stereotactic body radiotherapy (sbrt),bms-986253;nivolumab;stereotactic body radiotherapy (sbrt),PD-1,Monoclonal Antibody,CD30,1,1,0,0,1,0,1,1
NCT04598009,Binimetinib and Imatinib for Unresectable Stage III-IV KIT-Mutant Melanoma,PHASE2,Phase 2,RECRUITING,25,"University of California, San Francisco","University of California, San Francisco",90,0,0,single_arm,1,binimetinib;imatinib,binimetinib;imatinib,MEK,Small Molecule,RAS,0,1,0,0,0,0,0,0
NCT04616443,OH2 Injection in Combination With HX008 for Melanoma.,PHASE1;PHASE2,Phase 2,RECRUITING,60,"Binhui Biopharmaceutical Co., Ltd.",Binhui Biopharmaceutical,13,1,0,single_arm,1,hx008 injection;oh2 injection,hx008 injection;oh2 injection,PD-1,Oncolytic Virus,,1,1,0,0,0,0,0,0
NCT04657991,"A Clinical Trial of Three Study Medicines (Encorafenib, Binimetinib, and Pembrolizumab) in Patients With Advanced or Metastatic Melanoma",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,257,Pfizer,Pfizer,687,1,1,active_comparator,2,pembrolizumab,binimetinib;encorafenib;pembrolizumab,BRAF,Small Molecule,BRAF,0,1,1,0,0,1,0,1
NCT04674683,Study Comparing Investigational Drug HBI-8000 + Nivolumab vs. Placebo + Nivolumab in Patients With Advanced Melanoma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,450,"HUYABIO International, LLC.",HUYABIO International,9,1,1,placebo_comparator,2,placebo in combination with nivolumab,hbi-8000 in combination with nivolumab,PD-1,Monoclonal Antibody,BRAF;PD-L1;biomarker,1,1,1,0,1,0,0,1
NCT04706962,TH1902 in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,70,Theratechnologies,Theratechnologies,1,1,0,single_arm,1,th1902,th1902,SORT1,Peptide,MET;SORT1,0,1,0,0,0,0,1,0
NCT04722575,"Combination or Sequence of Vemurafenib, Cobimetinib, and Atezolizumab in High-risk, Resectable Melanoma",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,95,Fondazione Melanoma Onlus,Fondazione Melanoma Onlus,3,0,0,multi_experimental,3,atezolizumab;cobimetinib,atezolizumab;cobimetinib;vemurafenib,MEK,Small Molecule,BRAF;PD-L1,0,1,1,0,1,0,0,1
NCT04741997,Adjuvant Therapy Based on Pathologic Response After Neoadjuvant Encorafenib Binimetinib in Melanoma,EARLY_PHASE1,Phase 1,RECRUITING,50,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,active_comparator,4,binimetinib pill;encorafenib pill,binimetinib pill;encorafenib pill;nivolumab,PD-1,Monoclonal Antibody,BRAF;CD30;PD-L1,1,1,1,0,1,0,1,1
NCT04752826,BI-1808 as a Single Agent and With Pembrolizumab (KEYTRUDA® ) in Treatment of Advanced Malignancies(Keynote-D20),PHASE1;PHASE2,Phase 2,RECRUITING,250,BioInvent International AB,BioInvent International,10,1,1,multi_experimental,5,bi-1808,bi-1808;paclitaxel;pembrolizumab (keytruda ),TNFR2,Monoclonal Antibody,BRAF;PD-L1,1,1,0,0,0,0,0,0
NCT04787042,"Phase 1a and Phase 2 Study for Safety, Preliminary Efficacy, PK and PD of ST-067",PHASE1;PHASE2,Phase 2,RECRUITING,316,"Simcha IL-18, Inc.",Simcha IL-18,1,1,1,multi_experimental,4,st-067,obinutuzumab;pembrolizumab;st-067,PD-1,Recombinant Protein,ALK;HER2;MMR;MSI;MSI-H;PD-L1;TMB,0,1,0,0,1,0,1,1
NCT04802876,Efficacy of Tislelizumab and Spartalizumab Across Multiple Cancer-types in Patients with PD1-high MRNA Expressing Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,184,SOLTI Breast Cancer Research Group,SOLTI Breast Cancer Research Group,18,0,1,multi_experimental,3,,spartalizumab;tislelizumab,PD-1,Monoclonal Antibody,BRAF,1,1,0,0,1,0,0,1
NCT04835805,A Study to Evaluate the Safety and Activity of Belvarafenib as a Single Agent and in Combination With Either Cobimetinib or Cobimetinib Plus Nivolumab in Patients With NRAS-mutant Advanced Melanoma.,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,65,"Genentech, Inc.",Roche/Genentech,922,1,1,multi_experimental,3,,belvarafenib;cobimetinib;nivolumab,BRAF,Small Molecule,NRAS;PD-L1,0,1,0,1,1,0,0,1
NCT04855435,Safety and Preliminary Efficacy of MBS8(1V270) in Cancer Patients With Advanced Solid Tumours,PHASE1,Phase 1,RECRUITING,106,MonTa Biosciences ApS,MonTa Biosciences,1,1,0,multi_experimental,2,,mbs8(1v270);mbs8(1v270) and pembrolizumab combination,TLR7,Small Molecule,PR,0,1,0,0,1,0,1,1
NCT04895709,A Study of BMS-986340 as Monotherapy and as Combination Therapy in Participants With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,1109,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,multi_experimental,9,bms-986340,bms-936558-01;bms-986340;docetaxel;pumitamig,PD-1,Monoclonal Antibody,PD-L1;biomarker;biomarker analysis,1,1,0,0,0,0,1,0
NCT04903119,Nilotinib Plus Dabrafenib/Trametinib or Encorafenib/Binimetinib in Metastatic Melanoma,PHASE1,Phase 1,RECRUITING,30,Rina Plattner,Rina Plattner,1,0,1,multi_experimental,4,binimetinib;dabrafenib;encorafenib;nilotinib;trametinib,binimetinib;dabrafenib;encorafenib;nilotinib;trametinib,KIT,Small Molecule,BRAF;C-KIT,0,1,1,0,0,0,0,1
NCT04913285,A Study to Evaluate KIN-2787 in Participants With BRAF and/or NRAS Mutation Positive Solid Tumors,PHASE1,Phase 1,RECRUITING,400,Pierre Fabre Medicament,Pierre Fabre Medicament,27,1,0,multi_experimental,4,,kin-2787;kin-2787 and binimetinib,BRAF,Small Molecule,BRAF;MET;NRAS;genomic,0,1,0,1,0,0,0,1
NCT04930783,NeoVax + CDX-301 and Nivolumab or Pembrolizumab in Melanoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,10,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,0,multi_experimental,2,cdx-301;neovax,cdx-301;neovax;nivolumab;pembrolizumab,FLT3L,Peptide,CDX,0,1,0,0,0,0,0,0
NCT04949113,Neoadjuvant Ipilimumab Plus Nivolumab Versus Standard Adjuvant Nivolumab in Macroscopic Stage III Melanoma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,423,The Netherlands Cancer Institute,The Netherlands Cancer Institute,72,0,1,active_comparator,2,adjuvant nivolumab,neoadjuvant ipilimumab + nivolumab,CTLA-4,Monoclonal Antibody,BRAF;PD-L1,1,1,0,0,1,0,0,1
NCT04971499,A Study of Dapansutrile Plus Pembrolizumab in Patients With PD-1 Refractory Advanced Melanoma,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,26,"April Salama, M.D.","April Salama, M.D.",1,0,1,multi_experimental,2,dapansutrile;pembrolizumab,dapansutrile;pembrolizumab,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,0,0,1,0,1,1
NCT04996823,Axitinib + Ipilimumab in Advanced Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,24,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,single_arm,1,axitinib;ipilimumab,axitinib;ipilimumab,CTLA-4,Monoclonal Antibody,BRAF;PD-L1,1,1,1,0,1,0,1,1
NCT05022901,An Open-Label Expanded Access Study of the Melphalan/Hepatic Delivery System (HDS) in Patients With Hepatic Dominant Ocular Melanoma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,30,Delcath Systems Inc.,Delcath Systems,9,1,0,single_arm,1,melphalan (,melphalan (,,Small Molecule,,0,1,0,0,0,0,0,0
NCT05057013,A Phase I/IIa Trial of HMBD-001 in Advanced HER3 Positive Solid Tumours,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,81,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,2,,hmbd-001;hmbd-001 and enzalutamide,HER3,Monoclonal Antibody,HER3,1,1,0,0,0,0,1,0
NCT05061134,A Study of Ceralasertib Monotherapy and Ceralasertib Plus Durvalumab in Patients With Melanoma and Resistance to PD-(L)1 Inhibition,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,194,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,4,ceralasertib,ceralasertib;durvalumab,ATM,Small Molecule,BRAF;BRCA1;BRCA2;HRR,0,1,0,0,0,0,0,0
NCT05068102,A Study to Test How BI 765063 and BI 770371 Are Taken up in Tumours of People With Different Types of Advanced Cancer Who Are Also Taking Ezabenlimab,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,14,Boehringer Ingelheim,Boehringer Ingelheim,237,1,1,multi_experimental,2,ezabenlimab,[89zr]zr- bi 765063;[89zr]zr- bi 770371;bi 765063;bi 770371;ezabenlimab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,1,1
NCT05075993,Study of LVGN3616 and LVGN6051±LVGN7409 in Combination With Nab-Paclitaxel or Bevacizumab and Cyclophosphamide in Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,352,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,multi_experimental,4,lvgn3616 + lvgn6051 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + nab-paclitaxel;lvgn3616 + lvgn6051 + nab-paclitaxel,lvgn3616 + lvgn6051 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + nab-paclitaxel;lvgn3616 + lvgn6051 + nab-paclitaxel,,,PD-L1;molecular profiling,0,1,0,0,1,0,1,1
NCT05076760,MEM-288 Oncolytic Virus Alone and in Combination With Standard of Care Therapy in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,40,"Memgen, Inc.",Memgen,4,1,0,multi_experimental,3,mem-288 intratumoral injection,docetaxel;mem-288 intratumoral injection;nivolumab,CD40L,Oncolytic Virus,ALK;BRAF;CD8+ T cells;EGFR;IFNγ;KRAS;MET;PD-L1;RET;TCF1+ stem-like CD8+ T cells,1,1,1,0,1,1,1,1
NCT05081609,A Study to Investigate Safety and Tolerability of TransCon IL-2 β/γ Alone or in Combination With Pembrolizumab and/or TransCon TLR7/8 Agonist or Other Anticancer Therapies in Adult Participants With Locally Advanced or Metastatic Solid Tumor Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,320,Ascendis Pharma Oncology Division A/S,Ascendis Pharma Oncology Division A/S,2,1,0,multi_experimental,13,transcon il-2 β/γ,chemotherapy drug;pembrolizumab;surgery;transcon il-2 β/γ;transcon tlr7/8 agonist;trastuzumab;trastuzumab emtansine (t-dm1),IL-2,Peptide,ALC;CD25;CXCL10;IFN-γ;PD-L1;eosinophil,0,1,0,0,1,0,1,1
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,PHASE1;PHASE2,Phase 2,RECRUITING,115,"Medicenna Therapeutics, Inc.",Medicenna Therapeutics,2,1,1,single_arm,1,mdna11;pembrolizumab (keytruda),mdna11;pembrolizumab (keytruda),IL-2,Cell Therapy,MSI-H,1,1,0,0,0,0,1,0
NCT05089370,Oral Decitabine/Cedazuridine (DEC-C) in Combination With Nivolumab for Patients With Mucosal Melanoma,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,8,"University of Colorado, Denver","University of Colorado, Denver",46,0,0,single_arm,1,oral decitabine/cedazuridine (dec-c) in combination with nivolumab,oral decitabine/cedazuridine (dec-c) in combination with nivolumab,DNMT1,Small Molecule,PD-L1,0,1,0,0,0,0,1,0
NCT05098184,A Study of GC101 TIL in Advanced Melanoma (10hospital),EARLY_PHASE1,Phase 1,RECRUITING,50,Shanghai Juncell Therapeutics,Shanghai Juncell Therapeutics,19,1,0,single_arm,1,tumor infiltrating lymphocyte,tumor infiltrating lymphocyte,,Cell Therapy,,1,1,0,0,0,0,1,0
NCT05098210,"Personalized Neo-Antigen Peptide Vaccine for the Treatment of Stage IIIC-IV Melanoma, Hormone Receptor Positive HER2 Negative Metastatic Refractory Breast Cancer or Stage III-IV Non-Small Cell Lung Cancer",PHASE1,Phase 1,RECRUITING,28,Fred Hutchinson Cancer Center,Fred Hutchinson Cancer Center,52,0,0,single_arm,1,biopsy procedure;biospecimen collection;computed tomography;echocardiography test;multigated acquisition scan;neoantigen peptide vaccine;nivolumab;poly iclc;positron emission tomography;ruxolitinib,biopsy procedure;biospecimen collection;computed tomography;echocardiography test;multigated acquisition scan;neoantigen peptide vaccine;nivolumab;poly iclc;positron emission tomography;ruxolitinib,PD-1,Monoclonal Antibody,ALK;BRAF;CD30;ER;HER2;KRAS;PD-L1;PR;ROS1,1,1,1,0,1,0,0,1
NCT05107674,A Study of NX-1607 in Adults With Advanced Malignancies,PHASE1,Phase 1,RECRUITING,345,"Nurix Therapeutics, Inc.",Nurix Therapeutics,7,1,0,multi_experimental,12,nx-1607,nx-1607;paclitaxel,CBL-B,Small Molecule,PD-L1,0,1,0,0,1,0,1,1
NCT05130177,Zimberelimab (AB122) With TIGIT Inhibitor Domvanalimab (AB154) in PD-1 Relapsed/Refractory Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,8,Diwakar Davar,Diwakar Davar,8,0,0,single_arm,1,domvanalimab;zimberelimab,domvanalimab;zimberelimab,PD-1,Monoclonal Antibody,BRAF;MET;PD-L1,1,1,1,0,0,0,1,1
NCT05144698,RAPA-201 Therapy of Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,37,Rapa Therapeutics LLC,Rapa Therapeutics,3,1,0,single_arm,1,chemotherapy prior to rapa-201 therapy;pembrolizumab (pd-1 blocking antibody);rapa-201 rapamycin resistant t cells,chemotherapy prior to rapa-201 therapy;pembrolizumab (pd-1 blocking antibody);rapa-201 rapamycin resistant t cells,PD-1,Cell Therapy,ALK;BRAF;EGFR;PD-(L)1;PR,1,1,0,0,0,0,1,0
NCT05155254,IO102-IO103 in Combination With Pembrolizumab Versus Pembrolizumab Alone in Advanced Melanoma (IOB-013 / KN-D18),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,407,IO Biotech,IO Biotech,4,1,1,active_comparator,2,pembrolizumab,io102-io103;pembrolizumab,PD-1,Peptide,BRAF;biomarker,0,1,1,0,0,1,0,1
NCT05170334,Binimetinib Plus Belinostat for Subjects With Metastatic Uveal Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,7,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,single_arm,1,belinostat;binimetinib,belinostat;binimetinib,MEK,Small Molecule,MET;RAS,0,1,0,0,0,1,1,0
NCT05176470,Neoadj Admin Autologous Tumor Infiltrating Lymphocytes & Pembrolizumab for Treatment of Adv Melanoma Patients,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,2,Richard Wu,Richard Wu,1,0,0,single_arm,1,cyclophosphamide;fludarabine;lifileucel;pembrolizumab;therapeutic conventional surgery,cyclophosphamide;fludarabine;lifileucel;pembrolizumab;therapeutic conventional surgery,PD-1,Monoclonal Antibody,BRAF;PD-L1,1,1,1,0,1,0,0,1
NCT05180799,A Phase 1/2 Study of BA3071 in Patients With Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,320,"BioAtla, Inc.",BioAtla,6,1,0,multi_experimental,4,ba3071,ba3071;nivolumab;pembrolizumab;pemetrexed (alimta),CTLA-4,Monoclonal Antibody,KRAS;PD-L1,1,1,0,0,1,0,0,1
NCT05215574,Study of NGM831 as Monotherapy and in Combination With Pembrolizumab or Pembrolizumab and NGM438 in Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,130,"NGM Biopharmaceuticals, Inc",NGM Biopharmaceuticals,6,1,1,multi_experimental,3,,ngm831;ngm831 and ngm438 plus pembrolizumab (keytruda);ngm831 plus pembrolizumab (keytruda),ILT3,Monoclonal Antibody,,1,1,0,0,0,0,0,0
NCT05222932,Oncolytic Adenovirus TILT-123 and Avelumab for Treatment of Solid Tumors Refractory to or Progressing After Anti-PD(L)1,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,15,TILT Biotherapeutics Ltd.,TILT Biotherapeutics,6,1,0,single_arm,1,avelumab;tilt-123,avelumab;tilt-123,TNF-α and IL-2,Oncolytic Virus,,1,1,0,0,0,0,1,0
NCT05238883,A Study of HFB200301 as a Single Agent and in Combination With Tislelizumab in Adult Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,72,HiFiBiO Therapeutics,HiFiBiO Therapeutics,3,1,0,multi_experimental,4,hfb200301,hfb200301;tislelizumab,TNFR2,Monoclonal Antibody,BRAF,1,1,1,0,0,0,0,1
NCT05267626,"Study of AU-007, A Monoclonal Antibody That Binds to IL-2 and Inhibits IL-2Rα Binding, in Patients With Unresectable Locally Advanced or Metastatic Cancer",PHASE1;PHASE2,Phase 2,RECRUITING,159,"Aulos Bioscience, Inc.",Aulos Bioscience,1,1,0,multi_experimental,5,au-007,aldesleukin;au-007;avelumab;nivolumab,IL-2Rα,Monoclonal Antibody,ALK;BRAF;EGFR;PD-L1,1,1,1,0,1,0,0,1
NCT05270044,Adjuvant Encorafenib and Binimetinib in High-risk Stage II Melanoma With a BRAF Mutation.,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,815,Pierre Fabre Medicament,Pierre Fabre Medicament,27,1,0,placebo_comparator,2,placebo to match encorafenib ; placebo to match binimetinib,encorafenib and binimetinib,BRAF,Small Molecule,BRAF;BRAF V600E/K,0,1,1,0,0,0,0,1
NCT05275374,XP-102 and XP-102 in Combination With Trametinib in Advanced Solid Tumor Patients With a BRAF V600 Mutation,PHASE1;PHASE2,Phase 2,NOT_YET_RECRUITING,221,"Xynomic Pharmaceuticals, Inc.",Xynomic Pharmaceuticals,6,1,0,multi_experimental,3,xp-102,trametinib;xp-102,BRAF,Small Molecule,BRAF,0,1,1,0,0,0,0,1
NCT05279027,Zr89 + PET Companion Trial,EARLY_PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,6,Abramson Cancer Center at Penn Medicine,Abramson Cancer Center at Penn Medicine,31,0,0,single_arm,1,zirconium zr 89 crefmirlimab berdoxa,zirconium zr 89 crefmirlimab berdoxa,CD8,Radiopharmaceutical,biomarker,0,1,0,0,0,0,0,0
NCT05280314,Phase II Trial of Neoadjuvant and Adjuvant IO102-IO103 and Pembrolizumab KEYTRUDA® in Patients With Resectable Tumors,PHASE2,Phase 2,RECRUITING,60,IO Biotech,IO Biotech,4,1,1,multi_experimental,3,io102-io103;pembrolizumab keytruda,io102-io103;pembrolizumab keytruda,PD-1,Peptide,BRAF;MET;PD-L1,0,1,0,0,1,0,1,1
NCT05309421,A Single Arm Trial Evaluating the Efficacy and Safety of EVX-01 in Combination With Pembrolizumab in Adults With Unresectable or Metastatic Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,17,Evaxion Biotech A/S,Evaxion Biotech A/S,2,1,1,single_arm,1,evx-01;pembrolizumab,evx-01;pembrolizumab,PD-1,Peptide,BRAF;PD-L1;biomarker;neoantigens,0,1,1,0,1,1,1,1
NCT05315258,Tebentafusp in Molecular Relapsed Disease (MRD) Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,850,University of Oxford,University of Oxford,17,0,0,multi_experimental,2,tebentafusp,tebentafusp,gp100,Bispecific Antibody,HLA-A*0201;HLA-A*02:01,1,1,0,0,0,0,0,0
NCT05352672,Clinical Study of Fianlimab in Combination With Cemiplimab Versus Pembrolizumab in Adolescent and Adult Patients With Previously Untreated Unresectable Locally Advanced or Metastatic Melanoma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1546,Regeneron Pharmaceuticals,Regeneron,95,1,1,multi_experimental,4,,cemiplimab;fianlimab;pembrolizumab,LAG-3,Monoclonal Antibody,,1,1,1,0,0,0,0,1
NCT05355701,A Study to Learn About the Study Medicine Called PF-07799933 in People With Advanced Solid Tumors With BRAF Alterations.,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,103,Pfizer,Pfizer,687,1,1,multi_experimental,9,pf-07799933,binimetinib;cetuximab;fluorouracil;leucovorin;midazolam;oxaliplatin;pf-07799933,BRAF,Small Molecule,BRAF;MSI;MSI-H;dMMR,0,1,1,0,0,0,0,1
NCT05361174,A Study to Investigate the Efficacy and Safety of an Infusion of IOV-4001 in Adult Participants With Unresectable or Metastatic Melanoma or Stage III or IV Non-small-cell Lung Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,53,"Iovance Biotherapeutics, Inc.",Iovance Biotherapeutics,15,1,0,multi_experimental,2,iov-4001,iov-4001,PD-1,CAR-T,BRAF;PD-L1,1,1,1,0,1,0,0,1
NCT05366478,A Clinical Study of LM103 Injection in the Treatment of Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,15,"Suzhou BlueHorse Therapeutics Co., Ltd.",Suzhou BlueHorse Therapeutics,8,1,0,single_arm,1,autologous tumor infiltrating lymphocytes (tils),autologous tumor infiltrating lymphocytes (tils),,Cell Therapy,,1,1,0,0,0,0,0,0
NCT05384496,Axitinib and Nivolumab for the Treatment of Mucosal Melanoma,PHASE2,Phase 2,RECRUITING,20,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,axitinib;nivolumab and/or ipilimumab;stereotactic body radiation therapy (sbrt),axitinib;nivolumab and/or ipilimumab;stereotactic body radiation therapy (sbrt),PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,1,0
NCT05415072,A Phase I/II Study of DYP688 in Patients With Metastatic Uveal Melanoma and Other GNAQ/11 Mutant Melanomas,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,66,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,4,dyp688,dyp688,GNAQ,ADC,GNA11;GNAQ;PD-L1,1,1,0,0,1,1,1,1
NCT05418972,"A Phase 2 Clinical Trial of Neoadjuvant Relatlimab and Nivolumab in High Risk, Clinical Stage II Cutaneous Melanoma",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,20,Melanoma Institute Australia,Melanoma Institute Australia,10,0,1,single_arm,1,relatlimab and nivolumab fixed dose combination (fdc),relatlimab and nivolumab fixed dose combination (fdc),PD-1,Monoclonal Antibody,BRAF;PD-L1,1,1,0,1,0,0,0,1
NCT05423262,A Study of TRK-950 in Patients With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,49,"Toray Industries, Inc",Toray Industries,4,1,0,multi_experimental,4,trk-950,nivolumab;trk-950,PD-1,Monoclonal Antibody,CAPRIN-1,1,1,0,0,0,0,1,0
NCT05492682,START: Safety and Anti-Tumor Activity of PeptiCRAd-1 in Treatment of Cancer,PHASE1,Phase 1,RECRUITING,15,Valo Therapeutics Oy,Valo Therapeutics,1,1,0,multi_experimental,2,cyclophosphamide;pembrolizumab;pepticrad-1,cyclophosphamide;pembrolizumab;pepticrad-1,NY-ESO-1,Oncolytic Virus,MAGE-A3;NY-ESO-1,1,1,0,0,1,0,1,1
NCT05496686,Targeted Alpha Particle Radiotherapy for Metastatic Uveal Melanoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,16,"Modulation Therapeutics, Inc.",Modulation Therapeutics,1,1,0,multi_experimental,12,,1327 microci of 225ac-mti-201;152 microci of 225ac-mti-201;19 microci of 225ac-mti-201;254 microci of 225ac-mti-201;38 microci of 225ac-mti-201;4.7 microci 225ac-mti-201;424 microci of 225ac-mti-201;564 microci of 225ac-mti-201;750 microci of 225ac-mti-201;76 microci of 225ac-mti-201;9.5 microci of 225ac-mti-201;998 microci of 225ac-mti-201,MC1R,Radiopharmaceutical,,0,1,0,0,0,0,1,0
NCT05498792,Study of CBL0137 in Combination With Ipilimumab and Nivolumab Therapy in Melanoma,EARLY_PHASE1,Phase 1,RECRUITING,12,Fox Chase Cancer Center,Fox Chase Cancer Center,34,0,0,multi_experimental,3,cbl0137;ipilimumab;nivolumab,cbl0137;ipilimumab;nivolumab,PD-1,Small Molecule,PD-L1,0,1,0,0,1,0,0,1
NCT05502900,Adjuvant Melatonin for Uveal Melanoma,PHASE3,Phase 3,RECRUITING,100,Gustav Stalhammar,Gustav Stalhammar,1,0,0,multi_experimental,2,melatonin,melatonin,,,,0,1,0,0,0,0,0,0
NCT05524935,Olaparib in Combination With Pembrolizumab for Advanced Uveal Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,12,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,single_arm,1,olaparib;pembrolizumab,olaparib;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,1,1
NCT05529316,A Study of Botensilimab (AGEN1181) for the Treatment of Advanced Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,150,Agenus Inc.,Agenus,27,1,0,multi_experimental,4,botensilimab,balstilimab;botensilimab,PD-1,Monoclonal Antibody,BRAF;PD-L1,1,1,1,0,0,0,1,1
NCT05538130,A Study to Learn About the Study Medicine Called PF-07799544 as Monotherapy or in Combination in People With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,148,Pfizer,Pfizer,687,1,1,multi_experimental,3,pf-07799544,pf-07799544;pf-07799933,BRAF,Small Molecule,BRAF,0,1,1,0,0,0,0,1
NCT05544929,A Study of Safety and Efficacy of KFA115 Alone and in Combo With Pembrolizumab in Patients With Select Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,126,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,3,kfa115,kfa115;pembrolizumab,PD-1,,BRAF;MSI;MSI-H;PD-L1,0,1,1,0,1,0,1,1
NCT05549297,Tebentafusp Regimen Versus Investigator's Choice in Previously Treated Advanced Melanoma (TEBE-AM),PHASE3,Phase 3,RECRUITING,540,Immunocore Ltd,Immunocore,12,1,0,multi_experimental,3,,investigators choice;tebentafusp;tebentafusp with pembrolizumab,gp100,Bispecific Antibody,BRAF;HLA-A*02:01;biomarker,1,1,1,0,0,0,0,1
NCT05557045,"A Study of JZP815 Oral Capsules in Adult Participants With Advanced or Metastatic Solid Tumors Harboring Mitogen Activated Protein Kinase (MAPK) Pathway Alterations to Investigate the Safety, Dosing, and Antitumor Activity of JZP815",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,98,Jazz Pharmaceuticals,Jazz Pharmaceuticals,59,1,0,multi_experimental,2,jzp815,jzp815,BRAF,Small Molecule,MAPK pathway,0,1,0,1,0,0,0,1
