nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,translocation,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT05238883,A Study of HFB200301 as a Single Agent and in Combination With Tislelizumab in Adult Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,72,HiFiBiO Therapeutics,HiFiBiO Therapeutics,3,1,0,multi_experimental,4,hfb200301,hfb200301;tislelizumab,TNFR2,Monoclonal Antibody,BRAF,1,1,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05245968,A Study of Pimitespib in Combination With Imatinib in Patients With GIST (CHAPTER-GIST-101),PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,78,"Taiho Pharmaceutical Co., Ltd.",Taiho,86,1,0,multi_experimental,4,,imatinib;pimitespib;sunitinib,BCR-ABL,Small Molecule,BCR-ABL,0,1,0,0,0,0,0,,advanced · measurable (RECIST)
NCT05301283,"Habitat Escalated Adaptive Therapy (HEAT), With Neoadjuvant Radiation for Soft Tissue Sarcoma",PHASE2,Phase 2,RECRUITING,43,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,0,single_arm,1,diagnostic test: mri;intensity modulated radiation therapy (imrt),diagnostic test: mri;intensity modulated radiation therapy (imrt),,,,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05352750,Phase 1 Study of SON-1010 in Adult Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,42,Sonnet BioTherapeutics,Sonnet BioTherapeutics,2,1,0,multi_experimental,7,son-1010,son-1010,IL12,Monoclonal Antibody,,1,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05361954,Study to Assess the Safety and Preliminary Efficacy of STI-1386 Oncolytic Virus in Relapsed or Refractory Solid Tumors,PHASE1,Phase 1,NOT_YET_RECRUITING,36,"Sorrento Therapeutics, Inc.",Sorrento Therapeutics,18,1,0,single_arm,1,sti-1386,sti-1386,,Oncolytic Virus,,1,1,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05407441,Tazemetostat+Nivo/Ipi in INI1-Neg/SMARCA4-Def Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,49,"Susan Chi, MD","Susan Chi, MD",1,0,1,multi_experimental,8,ipilimumab;nivolumab;tazemetostat,ipilimumab;nivolumab;tazemetostat,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,1,1,0,1,1,"PD-L1+, fusion+",metastatic · 2nd-line+ · measurable (RECIST)
NCT05440786,CAMPFIRE: A Study of Abemaciclib (LY2835219) in Participants With Ewing's Sarcoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,46,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,2,irinotecan;temozolomide,abemaciclib;irinotecan;temozolomide,ER,Small Molecule,ER;HER2,0,1,0,0,0,1,0,,2nd-line+ · measurable (RECIST)
NCT05489237,First-in-human Study of IDRX-42 in Participants With Metastatic and/or Unresectable Gastrointestinal Stromal Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,276,"IDRX, Inc., a wholly owned subsidiary of GSK, LLC",GSK,468,1,1,multi_experimental,5,idrx-42,idrx-42,KIT,Small Molecule,KIT;MET,0,1,0,0,1,1,0,,metastatic · 1st-line · measurable (RECIST)
NCT05492682,START: Safety and Anti-Tumor Activity of PeptiCRAd-1 in Treatment of Cancer,PHASE1,Phase 1,RECRUITING,15,Valo Therapeutics Oy,Valo Therapeutics,1,1,0,multi_experimental,2,cyclophosphamide;pembrolizumab;pepticrad-1,cyclophosphamide;pembrolizumab;pepticrad-1,NY-ESO-1,Oncolytic Virus,MAGE-A3;NY-ESO-1,1,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05515575,A Study of Niraparib in People With Soft Tissue Sarcoma Who Have Changes in Their Tumor DNA,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,8,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,niraparib,niraparib,PARP,Small Molecule,BRCA1;BRCA2;HRD,0,1,0,1,1,0,1,fusion+,metastatic · 1st-line · measurable (RECIST) · ECOG 2
NCT05642455,SPEARHEAD-3 Pediatric Study,PHASE1;PHASE2,Phase 2,RECRUITING,20,"USWM CT, LLC",USWM CT,8,1,0,single_arm,1,afamitresgene autoleucel,afamitresgene autoleucel,MAGE-A4,CAR-T,MAGE-A4,1,1,0,0,0,0,0,,metastatic · measurable (RECIST) · ECOG 0
NCT05688280,"Intratumoral Injection of IP-001 Following Thermal Ablation in Patients With CRC, NSCLC, and STS",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,42,"Immunophotonics, Inc.",Immunophotonics,2,1,0,multi_experimental,3,1.0% ip-001 for injection,1.0% ip-001 for injection,,Oncolytic Virus,,1,1,0,1,1,0,1,fusion+,metastatic · 1st-line · measurable (RECIST)
NCT05734066,Study of Lurbinectedin Monotherapy in Pediatric and Young Adult Participants With Relapsed/Refractory Ewing Sarcoma,PHASE1;PHASE2,Phase 2,RECRUITING,60,Jazz Pharmaceuticals,Jazz Pharmaceuticals,59,1,0,multi_experimental,3,lurbinectedin,lurbinectedin,RNA Pol II,Small Molecule,EZH2;SLFN11,0,1,0,1,0,0,1,fusion+,metastatic
NCT05734105,A Study of Ripretinib vs Sunitinib in Patients With Advanced GIST With Specific KIT Exon Mutations Who Were Previously Treated With Imatinib,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,54,"Deciphera Pharmaceuticals, LLC",Deciphera,17,1,0,active_comparator,2,sunitinib,ripretinib,KIT,Small Molecule,KIT,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05735184,"A Study to Investigate the Safety and Tolerability of Ziftomenib in Combination With Venetoclax/Azacitidine, Venetoclax, 7+3, or 7+3+Quizartinib in Patients With AML",PHASE1,Phase 1,RECRUITING,420,"Kura Oncology, Inc.",Kura Oncology,14,1,0,multi_experimental,13,ziftomenib,azacitidine;cytarabine;daunorubicin;quizartinib;venetoclax;ziftomenib,Menin,Small Molecule,KMT2A;NPM1,0,1,0,1,0,1,1,fusion+,advanced · 2nd-line+
NCT05755113,A Clinical Study to Investigate the Efficacy of Intratumoral Tigilanol Tiglate in Soft Tissue Sarcoma,PHASE2,Phase 2,RECRUITING,40,QBiotics Group Limited,QBiotics,4,1,0,single_arm,1,tigilanol tiglate,tigilanol tiglate,,,,0,1,0,0,0,1,0,,metastatic · 2nd-line+
NCT05824975,"A Study to Evaluate the Safety and Therapeutic Activity of GI-102 As a Single Agent and in Combination with Conventional Anti-cancer Drugs, Pembrolizumab or Trastuzumab Deruxtecan(T-DXd) in Patients with Advanced Solid Tumors (KEYNOTE-G08)",PHASE1;PHASE2,Phase 2,RECRUITING,358,"GI Innovation, Inc.",GI Innovation,4,1,1,multi_experimental,7,,bevacizumab;doxorubicin;eribulin;gi-102;gi-102 subcutaneous (sc);paclitaxel;pembrolizumab;trastuzumab deruxtecan (t-dxd),CD80,Bispecific Antibody,,1,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05830084,Phase Ib / Regorafenib With Conventional Chemotherapy/Newly Diagnosed Patients/ Multimetastatic Ewing Sarcoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,23,"Gustave Roussy, Cancer Campus, Grand Paris","Gustave Roussy, Cancer Campus, Grand Paris",31,0,1,single_arm,1,regorafenib tablet,regorafenib tablet,VEGF/VEGFR,Small Molecule,,0,1,0,1,0,0,1,fusion+,metastatic
NCT05830123,ARTEMIS-002: HS-20093 in Patients With Relapsed or Refractory Osteosarcoma and Other Sarcomas,PHASE2,Phase 2,RECRUITING,170,Hansoh BioMedical R&D Company,Hansoh,82,1,0,multi_experimental,4,hs-20093,hs-20093,B7-H3,ADC,PD-L1,1,1,0,1,1,1,1,fusion+,metastatic · 1st-line · measurable (RECIST)
NCT05857969,Ex Vivo Drug Sensitivity Testing and Multi-Omics Profiling,PHASE1,Phase 1,RECRUITING,65,Florida International University,Florida International University,1,0,0,single_arm,1,device: functional precision medicine,device: functional precision medicine,,,genomic,0,1,0,0,0,1,0,,recurrent · 2nd-line+
NCT05918640,Lurbinectedin in FET-Fused Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,63,Children's Hospital of Philadelphia,Children's Hospital of Philadelphia,6,0,0,single_arm,1,lurbinectedin,lurbinectedin,RNA Pol II,Small Molecule,BRCA1;BRCA2;EZH2;SLFN11,0,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+ · measurable (RECIST)
NCT05944237,HTL0039732 in Participants With Advanced Solid Tumours,PHASE1;PHASE2,Phase 2,RECRUITING,150,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,3,,htl0039732 capsules;htl0039732 capsules and atezolizumab infusion,PD-L1,,HER2;PD-L1;genomic,0,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05957367,A Study of Inlexisertib (DCC-3116) in Combination With Anticancer Therapies in Participants With Advanced Malignancies,PHASE1;PHASE2,Phase 2,RECRUITING,94,"Deciphera Pharmaceuticals, LLC",Deciphera,17,1,0,multi_experimental,4,inlexisertib,inlexisertib;ripretinib,MEK,Small Molecule,MAPK;RAS,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06025747,A Phase 1 Study of Neoadjuvant Abemaciclib in Combination With Radiation Therapy for Liposarcomas,PHASE1,Phase 1,RECRUITING,18,University of Washington,University of Washington,74,0,1,single_arm,1,abemaciclib;computed tomography;magnetic resonance imaging;radiation therapy;therapeutic surgical procedure,abemaciclib;computed tomography;magnetic resonance imaging;radiation therapy;therapeutic surgical procedure,ER,Small Molecule,ER;HER2,0,1,0,1,0,0,1,fusion+,metastatic · measurable (RECIST)
NCT06087263,"Phase 2 Study to Evaluate the Efficacy of Regorafenib in Specific GIST Mutation Subsets (KIT Exon 17, 18, or 14 Mutation and SDHB Deficient GIST) in the Post-imatinib Second-line Setting.",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,3,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,single_arm,1,regorafenib,regorafenib,VEGF/VEGFR,Small Molecule,,0,1,0,1,1,0,1,fusion+,metastatic · 1st-line · ductal · measurable (RECIST)
NCT06126510,Clinical Study of VG161 in the Treatment of Advanced Bone and Soft Tissue Sarcoma,PHASE2,Phase 2,RECRUITING,40,CNBG-Virogin Biotech (Shanghai) Ltd.,CNBG-Virogin Biotech (Shanghai),5,1,0,single_arm,1,recombinant human il12/15-pdl1b oncolytic hsv-1 injection (vero cell),recombinant human il12/15-pdl1b oncolytic hsv-1 injection (vero cell),PD-L1,Oncolytic Virus,MET;PD-L1,1,1,0,1,0,0,1,fusion+,metastatic · measurable (RECIST)
NCT06128863,Pembrolizumab in Combination With Eftilagimod Alpha and Radiotherapy in Neoadjuvant Treatment of Patients With Soft Tissue Sarcoma - EFTISARC-NEO Trial,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,Maria Sklodowska-Curie National Research Institute of Oncology,Maria Sklodowska-Curie National Research Institute of Oncology,1,0,0,single_arm,1,eftilagimod alfa;pembrolizumab,,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT06156410,Cabozantinib With Ifosfamide in Relapsed/Refractory Sarcomas,PHASE1,Phase 1,RECRUITING,30,Children's Hospital of Philadelphia,Children's Hospital of Philadelphia,6,0,0,single_arm,1,cabozantinib,cabozantinib,MET,Small Molecule,MET;PD-L1,0,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT06208748,SARC044: A Phase II Trial of Bezuclastinib in Combination With Sunitinib in Patients With GIST,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,Sarcoma Alliance for Research through Collaboration,Sarcoma Alliance for Research through Collaboration,11,0,0,single_arm,1,bezuclastinib in combination with sunitinib,bezuclastinib in combination with sunitinib,KIT,Small Molecule,BRAF;KIT;MET,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06235125,Safety and Feasibility of Intraoperative Visualization With Cytalux in Children,PHASE1,Phase 1,RECRUITING,10,Ann & Robert H Lurie Children's Hospital of Chicago,Ann & Robert H Lurie Children's Hospital of Chicago,3,0,0,single_arm,1,cytalux,cytalux,,ADC,,1,1,0,0,0,0,0,,metastatic
NCT06242470,A Study of MGC026 in Participants With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,250,MacroGenics,MacroGenics,29,1,0,multi_experimental,12,,mgc026 dose escalation;mgc026 dose for expansion,,,,0,1,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06263231,A Study to Investigate Efficacy & Safety of Intratumoral INT230-6 Compared to US Standard of Care in Adults With Soft Tissue Sarcomas (INVINCIBLE-3),PHASE3,Phase 3,RECRUITING,333,"Intensity Therapeutics, Inc.",Intensity Therapeutics,2,1,0,active_comparator,2,eribulin;pazopanib;trabectedin,int230-6,,Small Molecule,MET,0,1,0,1,0,0,1,fusion+,metastatic · squamous · measurable (RECIST)
NCT06277154,MASCT-I Combined With Doxorubicin and Ifosfamide for First-line Treatment of Advanced Soft Tissue Sarcoma,PHASE2,Phase 2,RECRUITING,148,HRYZ Biotech Co.,HRYZ Biotech,8,1,0,active_comparator,2,doxorubicin;ifosfamide,doxorubicin;ifosfamide;masct-i,,Cell Therapy,PD-L1,1,1,1,1,0,1,1,"PD-L1+, fusion+",metastatic · 2nd-line+ · measurable (RECIST)
NCT06298916,64Cu-LNTH-1363S in Patients With Sarcoma or Gastrointestinal Tract Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,26,Lantheus Medical Imaging,Lantheus Medical Imaging,4,1,0,multi_experimental,2,64cu-lnth-1363s,64cu-lnth-1363s,FAP,Radiopharmaceutical,FAP,0,1,0,0,0,0,0,,metastatic
NCT06332274,tislelizUMaB in canceR Patients With molEcuLar residuaL Disease,PHASE3,Phase 3,RECRUITING,717,"Gustave Roussy, Cancer Campus, Grand Paris","Gustave Roussy, Cancer Campus, Grand Paris",31,0,1,placebo_comparator,4,blood sampling,blood sampling;tislelizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,1,0,0,1,"PD-L1+, fusion+",neoadjuvant · small-cell · measurable (RECIST)
NCT06333314,Dostarlimab for Locally Advanced or Metastatic Cancer (Non-colorectal/Non-endometrial) With Tumor dMMR/MSI,PHASE2,Phase 2,RECRUITING,120,UNICANCER,UNICANCER,64,0,1,active_comparator,2,,dostarlimab,PD-1,Monoclonal Antibody,HER2;MMR;MSI;MSI-H;PD-L1;dMMR,1,0,1,0,1,0,1,PD-L1+,metastatic · 1st-line · adenoca. · measurable (RECIST) · ECOG 0-1
NCT06395103,Substudy 01A: Zilovertamab Vedotin in Pediatric and Young Adult Participants With Hematologic Malignancies or Solid Tumors (MK-9999-01A/LIGHTBEAM-U01),PHASE1;PHASE2,Phase 2,RECRUITING,90,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,single_arm,1,zilovertamab vedotin,zilovertamab vedotin,ROR1,ADC,CD19,1,1,0,0,0,0,0,,
NCT06414434,BTX-A51 in Patients With Liposarcoma or CIC-rearranged Sarcoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,24,"Michael Wagner, MD","Michael Wagner, MD",1,0,0,multi_experimental,2,btx-a51,btx-a51,CK1alpha,Small Molecule,CIC;MDM2,0,1,0,1,0,0,1,fusion+,metastatic · measurable (RECIST)
NCT06441331,Phase I Trial to Determine the Dose and Evaluate the PK and Safety of Lutetium Lu 177 Edotreotide Therapy in Pediatric Participants With SSTR-positive Tumors,PHASE1,Phase 1,RECRUITING,20,ITM Solucin GmbH,ITM Solucin,3,1,0,single_arm,1,amino acid solution;lutetium lu 177-edotreotide,amino acid solution;lutetium lu 177-edotreotide,SSTR2,Radiopharmaceutical,Somatostatin Receptor,0,1,0,0,0,1,0,,metastatic · 2nd-line+
NCT06444880,Phase II Trial of Ubamatamab Alone or in Combination With Cemiplimab in MUC16-Expressing SMARCB1-Deficient Malignancies,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,15,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,multi_experimental,2,ubamatamab,cemiplimab;ubamatamab,MUC16,Bispecific Antibody,MUC16;PD-L1;biomarker,1,1,1,1,0,1,1,"PD-L1+, fusion+",metastatic · 2nd-line+ · adenoca.
NCT06465199,"Eflornithine (DFMO) and AMXT 1501 for Neuroblastoma, CNS Tumors, and Sarcomas",PHASE1;PHASE2,Phase 2,RECRUITING,265,Milton S. Hershey Medical Center,Milton S. Hershey Medical Center,10,0,0,active_comparator,4,eflornithine (dfmo),amxt 1501 dicaprate;eflornithine (dfmo),ODC,Small Molecule,,0,1,0,0,0,1,0,,metastatic · 2nd-line+
NCT06476704,Study of Preoperative RAdiation Therapy With Concomitant Liposomal Transcrocetin (L-TC) in Soft tISsue Sarcomas,PHASE2,Phase 2,NOT_YET_RECRUITING,42,Centre Paul Strauss,Centre Paul Strauss,1,0,0,active_comparator,2,hfrt alone,administration of l-tc,,,,0,1,0,0,0,0,0,,metastatic
NCT06500091,TQB2916 Injection Combined With Chemotherapy or Penpulimab Injection in the Treatment of Solid Tumors,PHASE2,Phase 2,NOT_YET_RECRUITING,54,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Chia Tai Tianqing Pharmaceutical,213,1,0,multi_experimental,2,,tqb2916 injection + doxorubicin hydrochloride for injection;tqb2916 injection+penpulimab injection,PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0-1
NCT06537596,89Zr-olaratumab Dosimetry in Participants With PDGFR Alpha Positive Solid Tumours and Soft Tissue Sarcoma,PHASE1,Phase 1,RECRUITING,50,Telix Pharmaceuticals (Innovations) Pty Ltd,Telix Pharmaceuticals (Innovations) Pty,19,1,0,multi_experimental,3,89zr-dfosq-olaratumab (89zr-tlx300-cdx),89zr-dfosq-olaratumab (89zr-tlx300-cdx),PDGFR-alpha,Monoclonal Antibody,CDX;PDGFR-ALPHA,1,1,0,0,0,0,0,,
NCT06564272,A Study of KC1036 in Adolescents With Advanced Ewing Sarcoma,PHASE2,Phase 2,RECRUITING,30,"Beijing Konruns Pharmaceutical Co., Ltd.",Beijing Konruns Pharmaceutical,10,1,0,single_arm,1,kc1036,kc1036,AXL,Small Molecule,,0,1,0,1,0,0,1,fusion+,metastatic · measurable (RECIST)
NCT06566092,"Study of Autologous Tumor-Infiltrating Lymphocytes in Pediatric, Adolescent, and Young Adult Participants",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,40,"Iovance Biotherapeutics, Inc.",Iovance Biotherapeutics,15,1,0,multi_experimental,4,ln-145/ln-144,ln-145/ln-144,,Cell Therapy,,1,1,0,0,0,1,0,,metastatic · 2nd-line+
NCT06630234,A Master Protocol to Evaluate DCC-3009 in Gastrointestinal Stromal Tumor (GIST),PHASE1;PHASE2,Phase 2,RECRUITING,120,"Deciphera Pharmaceuticals, LLC",Deciphera,17,1,0,single_arm,1,dcc-3009,dcc-3009,KIT,Small Molecule,KIT,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06640361,A Study of Olverembatinib in SDH-deficient GIST.,PHASE3,Phase 3,RECRUITING,40,Ascentage Pharma Group Inc.,Ascentage Pharma,45,1,0,single_arm,1,olverembatinib,olverembatinib,BCL2,Small Molecule,BCR-ABL1,0,1,0,0,0,0,0,,metastatic · ECOG 2
NCT06644755,First-in-Human Trial of DS-2243a in Participants With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,150,Daiichi Sankyo,Daiichi Sankyo,178,1,1,multi_experimental,5,ds-2243a,ds-2243a,NY-ESO-1,Bispecific Antibody,HER2;HLA-A*02;MET;NY-ESO,1,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+ · measurable (RECIST)
NCT06645808,PET-imaging of Two Vartumabs in Patients With Solid Tumors,EARLY_PHASE1,Phase 1,RECRUITING,32,Var2 Pharmaceuticals,Var2 Pharmaceuticals,1,1,0,multi_experimental,2,pet/ct scan,89zr-dfo-n-suc-c9scfv;89zr-dfo-n-suc-f8scfv;pet/ct scan,oncofetal chondroitin sulfate,Radiopharmaceutical,,0,1,0,0,0,0,0,,adjuvant · squamous
NCT06655246,A Study of Ziftomenib in Combination With Imatinib in Patients With Advanced Gastrointestinal Stromal Tumors (GIST),PHASE1,Phase 1,RECRUITING,157,"Kura Oncology, Inc.",Kura Oncology,14,1,0,multi_experimental,3,imatinib mesylate;ziftomenib,imatinib mesylate;ziftomenib,IDH1,Small Molecule,KMT2A;NPM1,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06660810,Neoadjuvant Intralesional Injection of Talimogene Laherparepvec,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,2,John Rieth,John Rieth,3,0,1,single_arm,1,neoadjuvant radiation;surgery;talimogene laherparepvec,neoadjuvant radiation;surgery;talimogene laherparepvec,,Oncolytic Virus,,1,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06699576,ARTEMIS-103: Phase 1b Study of HS-20093 Combinations in Patients with Bone and Soft Tissue Sarcoma.,PHASE1,Phase 1,NOT_YET_RECRUITING,448,Hansoh BioMedical R&D Company,Hansoh,82,1,0,multi_experimental,4,hs-20093,adebrelimab;anlotinib;epirubicin;hs-20093,B7-H3,ADC,PD-L1,1,1,1,1,0,0,1,"PD-L1+, fusion+",metastatic · measurable (RECIST)
NCT06700070,A Phase 0 Multicenter Study of the Pharmacodynamic Effects of Intratumoral Microdose Administration of PBA-0111 in Patients With Solid Tumors,EARLY_PHASE1,Phase 1,RECRUITING,12,Pure Biologics S.A.,Pure Biologics,2,1,0,single_arm,1,pba-0111,pba-0111,,,biomarker,0,1,0,0,0,0,0,,metastatic
NCT06709495,Phase 1/2 Trial to Evaluate the Safety and Efficacy of PEEL-224 in Combination With Vincristine and Temozolomide in Adolescents and Young Adults With Relapsed or Refractory Sarcomas,PHASE1;PHASE2,Phase 2,RECRUITING,63,"David S Shulman, MD","David S Shulman, MD",1,0,0,multi_experimental,9,filgrastim;peel-224;pegfilgrastim;temozolomide;vincristine,filgrastim;peel-224;pegfilgrastim;temozolomide;vincristine,TOP1,Small Molecule,,0,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+ · measurable (RECIST)
NCT06710756,Lead-212 PSV359 Therapy for Patients With Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,112,Perspective Therapeutics,Perspective Therapeutics,4,1,0,multi_experimental,2,[203pb]pb-psv359;[212pb]pb-psv359,[203pb]pb-psv359;[212pb]pb-psv359,FAP,Radiopharmaceutical,FAP,0,1,0,0,0,0,0,,metastatic · ECOG 0-1
NCT06748872,"EPITOME-1015-I: a Study to Investigate the Safety and Tolerability of MDG1015 in Patients with Epithelial Ovarian Cancer, Gastroesophageal Adenocarcinoma, Round Cell Liposarcoma And/or Synovial Sarcoma",PHASE1,Phase 1,NOT_YET_RECRUITING,55,Medigene AG,Medigene,4,1,0,single_arm,1,lymphodepletion;tcr-t cells (mdg1015),lymphodepletion;tcr-t cells (mdg1015),NY-ESO-1,Cell Therapy,LAGE-1A;NY-ESO-1,1,1,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT06789172,"A Phase 1, First-in-human Study of OKN4395 and Pembrolizumab in Patients With Solid Tumors",PHASE1,Phase 1,RECRUITING,146,Epkin,Epkin,1,1,0,multi_experimental,7,okn4395,fasting;fed;h2 receptor antagonist;okn4395;pembrolizumab,EP2,Small Molecule,ALK;HER2;MSI;PD-L1,0,1,1,0,1,1,1,PD-L1+,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT06797999,First-in-Human Study of ADCE-D01 in Soft Tissue Sarcoma,PHASE1;PHASE2,Phase 2,RECRUITING,270,Adcendo ApS,Adcendo,3,1,0,single_arm,1,antibody-drug conjugate (adc),,uPARAP,ADC,,1,0,0,1,0,0,1,fusion+,metastatic · measurable (RECIST)
NCT06805825,A Study of the c-Kit Specific Antibody-Drug Conjugate NN3201 for Advanced and/or Metastatic Solid Tumors Known to Express c-Kit,PHASE1,Phase 1,RECRUITING,67,"Novelty Nobility, Inc.",Novelty Nobility,1,1,0,multi_experimental,4,nn3201,nn3201,KIT,ADC,C-KIT;MET,1,1,0,0,0,1,0,,metastatic · 2nd-line+
NCT06827717,Phase II Study of Irinotecan Liposome (II) Combined With Temozolomide and Fluzoparib in Recurrent or Metastatic Ewing Sarcoma,PHASE2,Phase 2,RECRUITING,29,Sun Yat-sen University,Sun Yat-sen University,73,0,0,single_arm,1,irinotecan liposome (ii) + temozolomide + fluzoparib,irinotecan liposome (ii) + temozolomide + fluzoparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,1,1,0,1,fusion+,metastatic · 1st-line · squamous · measurable (RECIST)
NCT06909877,Study to Evaluate Efficacy and Safety of HH2853 in Relapsed/Refractory Peripheral T-cell Lymphoma,PHASE1;PHASE2,Phase 2,RECRUITING,100,"Haihe Biopharma Co., Ltd.",Haihe Biopharma,17,1,0,single_arm,1,hh2853 tablets,hh2853 tablets,EZH1/2,Small Molecule,INI1;MET,0,1,0,0,0,1,0,,2nd-line+ · ECOG 0-1
NCT06910657,IDOV-Immune for Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,78,"ViroMissile, Inc.",ViroMissile,1,1,0,single_arm,1,idov-immune (oncolytic vaccinia virus),idov-immune (oncolytic vaccinia virus),,Oncolytic Virus,,1,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06926283,A Study of DXC008 in Patients With Prostate Cancer and Other Solid Tumors,PHASE1,Phase 1,RECRUITING,110,"Hangzhou DAC Biotechnology Co., Ltd.",Hangzhou DAC Biotechnology,5,1,0,single_arm,1,dxc008,dxc008,STEAP1,ADC,,1,1,0,1,0,0,1,fusion+,metastatic · squamous · measurable (RECIST)
NCT06942143,"An Open-label, Phase I Clinical Trial of Super1 TCR-T in NY-ESO-1-positive Patients With Advanced Solid Tumors",PHASE1,Phase 1,RECRUITING,15,"Guangzhou FineImmune Biotechnology Co., LTD.",Guangzhou FineImmune Biotechnology,5,1,0,single_arm,1,super1 tcr-t,super1 tcr-t,NY-ESO-1,CAR-T,MET;NY-ESO-1,1,1,0,1,1,0,1,fusion+,1st-line · measurable (RECIST) · ECOG 0-1
NCT06943521,A Study of MT-4561 in Patients With Various Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,27,"Tanabe Pharma America, Inc.",Tanabe Pharma America,3,1,0,single_arm,1,mt-4561,mt-4561,BRD4,Small Molecule,,0,1,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT06946225,ACTengine® IMA203 Combined With mRNA-4203,PHASE1,Phase 1,RECRUITING,15,"Immatics US, Inc.",Immatics US,6,1,0,single_arm,1,ima203;mrna-4203,ima203;mrna-4203,PRAME,Cell Therapy,HLA-A*02:01;PD-L1,1,1,0,1,0,0,1,fusion+,metastatic · squamous · measurable (RECIST)
