nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,FGFR,HER2,MSI-H/dMMR,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT04165317,A Study of Sasanlimab in People With Non-muscle Invasive Bladder Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1068,Pfizer,Pfizer,687,1,1,active_comparator,5,bacillus calmette-guerin,bacillus calmette-guerin;pf-06801591,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic
NCT04180371,Study BT5528-100 in Patients With Advanced Solid Tumors Associated With EphA2 Expression,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,288,BicycleTx Limited,BicycleTx,8,1,0,multi_experimental,3,bt5528,bt5528;nivolumab,EphA2,Monoclonal Antibody,EPHA2;biomarker,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT04186013,Efficacy of Atezolizumab Concurrent With Radiotherapy in Patients With Muscle-invasive Bladder cáncer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,39,Spanish Oncology Genito-Urinary Group,Spanish Oncology Genito-Urinary,14,0,1,single_arm,1,atezolizumab injection [tecentriq];external beam radiation therapy (ebrt),atezolizumab injection [tecentriq];external beam radiation therapy (ebrt),PD-L1,Monoclonal Antibody,TMB,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+
NCT04198766,Study of INBRX-106 and INBRX-106 in Combination With Pembrolizumab (Keytruda®) in Subjects With Locally Advanced or Metastatic Solid Tumors (Hexavalent OX40 Agonist),PHASE1;PHASE2,Phase 2,RECRUITING,340,"Inhibrx Biosciences, Inc",Inhibrx Biosciences,4,1,1,active_comparator,15,inbrx-106 - hexavalent ox40 agonist antibody,carboplatin auc-5;carboplatin auc-6;cisplatin;gemcitabine (;inbrx-106 - hexavalent ox40 agonist antibody;nab-paclitaxel;paclitaxel;pembrolizumab;pemetrexed,OX40,Monoclonal Antibody,ALK;EGFR;MSI;MSI-H;PD-L1;TMB,1,1,1,0,0,0,1,1,1,PD-L1+,metastatic · 1st-line · squamous
NCT04223856,Enfortumab Vedotin and Pembrolizumab vs. Chemotherapy Alone in Untreated Locally Advanced or Metastatic Urothelial Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,886,"Astellas Pharma Global Development, Inc.",Astellas,171,1,1,active_comparator,2,carboplatin;cisplatin;gemcitabine,enfortumab vedotin;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT04241185,Efficacy and Safety of Pembrolizumab (MK-3475) in Combination With Chemoradiotherapy (CRT) Versus CRT Alone in Muscle-invasive Bladder Cancer (MIBC) (MK-3475-992/KEYNOTE-992),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,520,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,placebo_comparator,2,cisplatin;conventional radiotherapy (bladder and pelvic nodes);conventional radiotherapy (bladder only);fluorouracil (5-fu);gemcitabine;hypofractionated radiotherapy (bladder only);mitomycin c (mmc);placebo to pembrolizumab,cisplatin;conventional radiotherapy (bladder and pelvic nodes);conventional radiotherapy (bladder only);fluorouracil (5-fu);gemcitabine;hypofractionated radiotherapy (bladder only);mitomycin c (mmc);pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · squamous
NCT04289779,Study of CAbozantinib in Combination with AtezolizumaB for Muscle-Invasive BladdEr Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,46,Deepak Kilari,Deepak Kilari,2,0,1,single_arm,1,atezolizumab;cabozantinib;cystectomy,atezolizumab;cabozantinib;cystectomy,MET,Small Molecule,PD-L1,0,1,1,0,0,0,0,0,1,PD-L1+,metastatic · squamous
NCT04389632,A Study of Sigvotatug Vedotin in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,1006,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,5,sigvotatug vedotin,carboplatin;cisplatin;pembrolizumab;sigvotatug vedotin,PD-1,Monoclonal Antibody,HER2;PD-L1,1,1,0,0,1,0,1,1,1,HER2−,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04452591,"Study of Cretostimogene Given in Patients With Non-Muscle Invasive Bladder Cancer ,Unresponsive to Bacillus-Calmette-Guerin",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,190,"CG Oncology, Inc.",CG Oncology,7,1,0,multi_experimental,2,cretostimogene grenadenorepvec;n-dodecyl-b-d-maltoside,cretostimogene grenadenorepvec;n-dodecyl-b-d-maltoside,,Oncolytic Virus,,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous
NCT04561362,Study BT8009-100 in Subjects With Nectin-4 Expressing Advanced Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,329,BicycleTx Limited,BicycleTx,8,1,0,multi_experimental,13,bt8009,bt8009;pembrolizumab,NECTIN4,Monoclonal Antibody,ALK;BRAF;ER;HER2;KRAS;MET;NECTIN-4;PR;ROS1,1,1,0,0,1,0,0,1,1,HER2−,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04585750,The Evaluation of PC14586 in Patients With Advanced Solid Tumors Harboring a TP53 Y220C Mutation (PYNNACLE),PHASE1;PHASE2,Phase 2,RECRUITING,300,"PMV Pharmaceuticals, Inc",PMV Pharmaceuticals,2,1,1,multi_experimental,9,rezatapopt,pembrolizumab;rezatapopt,PD-1,Monoclonal Antibody,KRAS;PD-L1,1,1,1,0,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0
NCT04640623,"A Study of TAR-200 in Combination With Cetrelimab, TAR-200 Alone, or Cetrelimab Alone in Participants With Non-Muscle Invasive Bladder Cancer (NMIBC) Unresponsive to Intravesical Bacillus Calmette-Guérin Who Are Ineligible for or Elected Not to Undergo Radical Cystectomy",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,220,"Janssen Research & Development, LLC",Johnson & Johnson,363,1,1,multi_experimental,4,,cetrelimab;tar-200,gemcitabine,Small Molecule,,0,1,0,0,0,0,0,0,0,,metastatic
NCT04644068,Study of AZD5305 as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,702,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,6,azd5305,azd5305;camizestrant;carboplatin;dato-dxd;paclitaxel;t- dxd,PARP,Small Molecule,,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · ECOG 0
NCT04658862,A Study of TAR-200 in Combination With Cetrelimab Versus Concurrent Chemoradiotherapy in Participants With Muscle-invasive Bladder Cancer (MIBC) of the Bladder,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,518,"Janssen Research & Development, LLC",Johnson & Johnson,363,1,1,active_comparator,2,cisplatin;conventional radiation therapy;gemcitabine;hypo-fractioned radiation therapy,cetrelimab;tar-200,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,
NCT04660344,A Study of Atezolizumab Versus Placebo as Adjuvant Therapy in Participants With High-risk Muscle-invasive Bladder Cancer (MIBC) Who Are ctDNA Positive Following Cystectomy,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,761,Hoffmann-La Roche,Roche/Genentech,922,1,1,placebo_comparator,3,device: signatera,atezolizumab;device: signatera,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;PD-L1;TMB,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic
NCT04678362,TALazoparib and Avelumab as Maintenance Therapy in Platinum-Sensitive Metastatic or Locally Advanced URothelial Carcinoma,PHASE2,Phase 2,RECRUITING,50,Centre Francois Baclesse,Centre Francois Baclesse,7,0,1,single_arm,1,talazoparib + avelumab,talazoparib + avelumab,PARP,Small Molecule,BRCA1;BRCA2;HRD;PR,0,1,1,0,0,0,1,0,1,PD-L1+,metastatic · 1st-line · ductal · measurable (RECIST)
NCT04688931,A Phase 3 Study of UGN-102 for Low-Grade Intermediate-Risk Non-Muscle Invasive Bladder Cancer,PHASE3,Phase 3,TERMINATED,282,UroGen Pharma Ltd.,UroGen Pharma,14,1,0,active_comparator,2,turbt,turbt;ugn-102,mitomycin,Cell Therapy,,1,1,0,0,0,0,0,0,0,,metastatic
NCT04700124,Perioperative Enfortumab Vedotin (EV) Plus Pembrolizumab (MK-3475) Versus Neoadjuvant Chemotherapy for Cisplatin-Eligible Muscle Invasive Bladder Cancer (MIBC) (MK-3475-B15/ KEYNOTE-B15 / EV-304),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,808,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,2,cisplatin;gemcitabine;rc + plnd,enfortumab vedotin (ev);pembrolizumab;rc + plnd,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic
NCT04724018,Sacituzumab Govitecan Plus EV in Metastatic UC,PHASE1;PHASE2,Phase 2,RECRUITING,106,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,multi_experimental,3,enfortumab vedotin-ejfv (ev);sacituzumab govitecan (sg),enfortumab vedotin-ejfv (ev);pembrolizumab;sacituzumab govitecan (sg),PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04752722,LEGEND Study: EG-70 in NMIBC Patients BCG-Unresponsive and High-Risk NMIBC Incompletely Treated With BCG or BCG-Naïve,PHASE1;PHASE2,Phase 2,RECRUITING,350,"enGene, Inc.",enGene,1,1,0,multi_experimental,3,,eg-70 (phase 1);eg-70 (phase 2) master protocol;surfactant bladder pre-rinse and eg-70 (substudy),TRAIL,Cell Therapy,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic
NCT04802876,Efficacy of Tislelizumab and Spartalizumab Across Multiple Cancer-types in Patients with PD1-high MRNA Expressing Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,184,SOLTI Breast Cancer Research Group,SOLTI Breast Cancer Research Group,18,0,1,multi_experimental,3,,spartalizumab;tislelizumab,PD-1,Monoclonal Antibody,BRAF,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT04863885,Combination of Ipi/Nivo Plus Sacituzumab Govitecan in Metastatic Cisplatin Ineligible Urothelial Carcinoma Patients,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,46,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,multi_experimental,4,ipilimumab;nivolumab;sacituzumab govitecan,ipilimumab;nivolumab;sacituzumab govitecan,CTLA-4,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · small-cell · measurable (RECIST)
NCT04878029,Cabozantinib in Combination With Enfortumab Vedotin for Locally Advanced or Metastatic Urothelial Cancer,PHASE1,Phase 1,RECRUITING,32,Emory University,Emory University,116,0,0,single_arm,1,cabozantinib s-malate;enfortumab vedotin;quality-of-life assessment;questionnaire administration,cabozantinib s-malate;enfortumab vedotin;quality-of-life assessment;questionnaire administration,MET,Small Molecule,MET;PD-L1,0,1,1,0,0,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT04879329,A Study of Disitamab Vedotin Alone or With Pembrolizumab in Urothelial Cancer That Expresses HER2,PHASE2,Phase 2,RECRUITING,372,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,8,disitamab vedotin,disitamab vedotin;pembrolizumab,PD-1,Monoclonal Antibody,HER2;MET;PD-L1,1,1,0,0,1,0,1,1,1,HER2+,metastatic · 1st-line · measurable (RECIST)
NCT04895709,A Study of BMS-986340 as Monotherapy and as Combination Therapy in Participants With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,1109,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,multi_experimental,9,bms-986340,bms-936558-01;bms-986340;docetaxel;pumitamig,PD-1,Monoclonal Antibody,PD-L1;biomarker;biomarker analysis,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT04919512,A Study of TAR-200 in Combination With Cetrelimab and Cetrelimab Alone in Participants With Muscle-Invasive Urothelial Carcinoma of the Bladder,PHASE2,Phase 2,COMPLETED,163,"Janssen Research & Development, LLC",Johnson & Johnson,363,1,1,multi_experimental,2,cetrelimab,cetrelimab;tar-200,gemcitabine,Small Molecule,,0,1,0,0,0,0,0,0,0,,small-cell
NCT04960709,"Treatment Combination of Durvalumab, Tremelimumab and Enfortumab Vedotin or Durvalumab and Enfortumab Vedotin in Patients With Muscle Invasive Bladder Cancer Ineligible to Cisplatin or Who Refuse Cisplatin",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,712,AstraZeneca,AstraZeneca,780,1,1,active_comparator,3,radical cystectomy,durvalumab;enfortumab vedotin;radical cystectomy;tremelimumab,PD-L1,Monoclonal Antibody,EGFR;PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic
NCT04969835,"A Study Evaluating the Safety, Pharmacokinetics and Early Efficacy of AVA6000 in Solid Tumours",PHASE1,Phase 1,RECRUITING,158,Avacta Life Sciences Ltd,Avacta Life Sciences,2,1,0,multi_experimental,4,ava6000,ava6000,FAP,ADC,FAP;PR,1,1,0,0,0,0,1,1,0,,metastatic · 1st-line · measurable (RECIST)
NCT04977453,GI-101/GI-101A as a Single Agent or in Combination With Pembrolizumab or Lenvatinib in Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,317,"GI Innovation, Inc.",GI Innovation,4,1,1,multi_experimental,5,,gi-101;gi-101a;lenvatinib;pembrolizumab (keytruda),PD-1,Bispecific Antibody,,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05000294,Atezolizumab Plus Tivozanib in Immunologically Cold Tumor Types,PHASE1;PHASE2,Phase 2,RECRUITING,29,University of Florida,University of Florida,28,0,1,single_arm,1,atezolizumab;tivozanib,atezolizumab;tivozanib,PD-L1,Monoclonal Antibody,CMMRD;HER2;MET;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,1,0,1,1,0,0,1,"PD-L1+, HER2+, MSI-H/dMMR",metastatic · adenoca. · measurable (RECIST)
NCT05024773,Study of ONCOFID-P-B (PACLITAXEL-HYALURONIC ACID),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,130,Fidia Farmaceutici s.p.a.,Fidia Farmaceutici s.p.a.,5,1,0,single_arm,1,oncofid p-b (paclitaxel-hyaluronic acid),oncofid p-b (paclitaxel-hyaluronic acid),Tubulin,Small Molecule,MET,0,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT05037279,Evaluating Safety and Efficacy of Verity-BCG in BCG-naïve Patients With Intermediate and High-risk Non-muscle Invasive Bladder (NMIBC),PHASE3,Phase 3,RECRUITING,540,Verity Pharmaceuticals Inc.,Verity Pharmaceuticals,1,1,0,active_comparator,2,bacillus calmette-guerin: strain tice,bacillus calmette-guerin: strain russian bcg-i,,Oncolytic Virus,,1,1,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT05057013,A Phase I/IIa Trial of HMBD-001 in Advanced HER3 Positive Solid Tumours,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,81,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,2,,hmbd-001;hmbd-001 and enzalutamide,HER3,Monoclonal Antibody,HER3,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca.
NCT05059522,Continued Access Study for Participants Deriving Benefit in Pfizer-Sponsored Avelumab Parent Studies That Are Closing,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,77,Pfizer,Pfizer,687,1,1,multi_experimental,9,avelumab,avelumab;axitinib;cmp 001;lorlatanib;pemetrexed;pf04518600;talazoparib;utomilumab,PD-L1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,PHASE1;PHASE2,Phase 2,RECRUITING,115,"Medicenna Therapeutics, Inc.",Medicenna Therapeutics,2,1,1,single_arm,1,mdna11;pembrolizumab (keytruda),mdna11;pembrolizumab (keytruda),IL-2,Cell Therapy,MSI-H,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT05101096,Study of Sacituzumab Govitecan (SG) in Japanese Participants With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,135,Gilead Sciences,Gilead Sciences,168,1,1,multi_experimental,8,sacituzumab govitecan-hziy,sacituzumab govitecan-hziy,TROP2,ADC,HER2;PD-L1,1,1,1,0,1,0,0,1,1,"PD-L1+, HER2+",metastatic · 2nd-line+ · measurable (RECIST)
NCT05107674,A Study of NX-1607 in Adults With Advanced Malignancies,PHASE1,Phase 1,RECRUITING,345,"Nurix Therapeutics, Inc.",Nurix Therapeutics,7,1,0,multi_experimental,12,nx-1607,nx-1607;paclitaxel,CBL-B,Small Molecule,PD-L1,0,1,1,0,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05136898,Feasibility of Home Instillation of UGN-102 for Treatment of Low-Grade (LG) Non-Muscle Invasive Bladder Cancer (NMIBC),PHASE3,Phase 3,COMPLETED,8,UroGen Pharma Ltd.,UroGen Pharma,14,1,0,single_arm,1,ugn-102,ugn-102,mitomycin,Cell Therapy,,1,1,0,0,0,0,0,0,0,,metastatic
NCT05137262,A Phase II Multicenter Study of Chemotherapy Versus Chemotherapy Plus Durvalumab (MEDI 4736) in Patients With Lymph Node Positive Urothelial Carcinoma of the Bladder,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,12,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,multi_experimental,2,abiraterone acetate;cisplatin;doxorubicin hydrochloride;durvalumab;methotrexate;vinblastine,abiraterone acetate;cisplatin;doxorubicin hydrochloride;durvalumab;methotrexate;vinblastine,PD-L1,Monoclonal Antibody,EGFR;PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · adenoca.
NCT05176483,Study of Zanzalintinib in Combination With Immuno-Oncology or Other Agents in Participants With Solid Tumors,PHASE1,Phase 1,RECRUITING,1394,Exelixis,Exelixis,52,1,0,multi_experimental,9,zanzalintinib,ddi probe cocktail;docetaxel;ipilimumab;nivolumab;nivolumab + relatlimab;zanzalintinib,EGFR,Small Molecule,PD-L1;biomarker,0,1,1,0,0,0,1,1,1,PD-L1+,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT05200988,Checkpoint Inhibition and Chemoradiotherapy as Bladder Sparing Treatment in UC,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,50,The Netherlands Cancer Institute,The Netherlands Cancer Institute,72,0,1,single_arm,1,ipilimumab + nivolumab,ipilimumab + nivolumab,CTLA-4,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,1,0,0,,1st-line · small-cell
NCT05215574,Study of NGM831 as Monotherapy and in Combination With Pembrolizumab or Pembrolizumab and NGM438 in Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,130,"NGM Biopharmaceuticals, Inc",NGM Biopharmaceuticals,6,1,1,multi_experimental,3,,ngm831;ngm831 and ngm438 plus pembrolizumab (keytruda);ngm831 plus pembrolizumab (keytruda),ILT3,Monoclonal Antibody,,1,1,0,0,0,0,0,0,0,,metastatic
NCT05239624,Enfortumab Vedotin and Pembrolizumab in People With Bladder Cancer,PHASE2,Phase 2,RECRUITING,23,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,enfortumab vedotin;pembrolizumab,enfortumab vedotin;pembrolizumab,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · squamous
NCT05241340,Neoadjuvant Sasanlimab With Radiation as an in Situ Vaccine for Cisplatin-ineligible Muscle Invasive Bladder Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,33,The Methodist Hospital Research Institute,The Methodist Hospital Research Institute,27,0,1,single_arm,1,radical cystectomy + pelvic lymph node dissection + urinary diversion;sasanlimab;stereotactic body radiation therapy,radical cystectomy + pelvic lymph node dissection + urinary diversion;sasanlimab;stereotactic body radiation therapy,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · squamous
NCT05243550,A Phase 3 Single-Arm Study of UGN-102 for Treatment of Low-Grade Intermediate-Risk Non-Muscle Invasive Bladder Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,240,UroGen Pharma Ltd.,UroGen Pharma,14,1,0,single_arm,1,ugn-102,ugn-102,mitomycin,Cell Therapy,,1,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT05302284,A Study of RC48-ADC Combined With Toripalimab For First-line Treatment of Urothelial Carcinoma,PHASE3,Phase 3,RECRUITING,452,"RemeGen Co., Ltd.",RemeGen,51,1,0,active_comparator,2,carboplatin;cisplatin;gemcitabine,rc48-adc;toripalimab,HER2,ADC,HER2;PD-L1,1,1,1,0,1,0,0,0,1,"PD-L1+, HER2+",metastatic · measurable (RECIST)
NCT05312671,Atezolizumab Plus Etoposide and Platinum in Small Cell Bladder Cancer,PHASE2,Phase 2,RECRUITING,63,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,single_arm,1,atezolizumab;carboplatin;cisplatin;cystectomy;etoposide,atezolizumab;carboplatin;cisplatin;cystectomy;etoposide,PD-L1,Monoclonal Antibody,CMMRD;MET;MSI-H;PD-L1;TMB,1,1,1,0,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · small-cell
NCT05316155,Study of Erdafitinib Intravesical Delivery System for Localized Bladder Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,235,"Janssen Research & Development, LLC",Johnson & Johnson,363,1,1,multi_experimental,4,erdafitinib intravesical delivery system,erdafitinib intravesical delivery system,FGFR,Small Molecule,FGFR;biomarker,0,1,0,1,0,0,0,0,1,FGFR-alt,metastatic
NCT05318573,"A Study to Evaluate Safety, Efficacy of FF-10832 in Combo With Pembrolizumab in Urothelial & Non-small Cell Lung Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,120,"Fujifilm Pharmaceuticals U.S.A., Inc.",Fujifilm Pharmaceuticals U.,7,1,1,multi_experimental,5,ff-10832,ff-10832;pembrolizumab,PD-1,Monoclonal Antibody,ALK;EGFR;PD-L1,1,1,1,0,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT05327530,A Study of the Safety and Efficacy of Various Combinations of Avelumab as Therapy in Locally Advanced or Metastatic Urothelial Carcinoma (JAVELIN Bladder Medley),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,256,"EMD Serono Research & Development Institute, Inc.",Merck KGaA,166,1,1,multi_experimental,5,avelumab,avelumab;m6223;nktr-255;sacituzumab govitecan (sg),PD-L1,Monoclonal Antibody,PD-L1;TROP2,1,1,1,0,0,0,1,0,1,PD-L1+,metastatic · 1st-line · measurable (RECIST)
NCT05406713,Pembrolizumab in Muscle-invasive Bladder Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,46,Matthew Galsky,Matthew Galsky,11,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,neoadjuvant · ECOG 0-1
NCT05483868,"A Phase 1, Open-label Trial of Belzupacap Sarotalocan (AU-011) in Bladder Cancer",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,55,Aura Biosciences,Aura Biosciences,5,1,0,multi_experimental,10,,au-011;au-011 in combination with medical laser administration;au-011 in combination with medical laser adminstration,HSPG,ADC,,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+
NCT05489211,Study of Dato-DXd as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Tumours (TROPION-PanTumor03),PHASE2,Phase 2,RECRUITING,454,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,14,datopotamab deruxtecan (dato-dxd),bevacizumab;capecitabine;carboplatin;cisplatin;datopotamab deruxtecan (dato-dxd);fluorouracil;prednisone/ prednisolone;rilvegostomig;volrustomig,VEGF/VEGFR,Monoclonal Antibody,TROP2;genomic,1,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT05506943,"A Study of CTX-009 in Combination With Paclitaxel in Adult Patients With Unresectable Advanced, Metastatic or Recurrent Biliary Tract Cancers (COMPANION-002)",PHASE2;PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,168,Compass Therapeutics,Compass Therapeutics,6,1,0,active_comparator,2,paclitaxel,ctx-009;paclitaxel,DLL4,Bispecific Antibody,MET,1,1,0,0,0,0,1,0,0,,metastatic · 1st-line · measurable (RECIST)
NCT05544552,Safety and Preliminary Anti-Tumor Activity of TYRA-300 in Advanced Urothelial Carcinoma and Other Solid Tumors With FGFR3 Gene Alterations,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,310,"Tyra Biosciences, Inc",Tyra Biosciences,5,1,0,multi_experimental,3,tyra-300,tyra-300,FGFR,Small Molecule,FGFR3,0,1,0,1,0,0,0,0,1,FGFR-alt,metastatic · measurable (RECIST)
NCT05562830,A Substudy of Investigational Agents in Programmed Cell Death-1/Ligand 1 (PD-1/L1) Refractory Locally Advanced or Metastatic Urothelial Carcinoma (mUC) (MK-3475-04A),PHASE1;PHASE2,Phase 2,RECRUITING,48,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,,mk-3120;pembrolizumab;zilovertamab vedotin,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+
NCT05567185,A Study of Erdafitinib Intravesical Delivery System in Japanese Participants With Bladder Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,5,Janssen Pharmaceutical K.K.,Johnson & Johnson,363,1,1,single_arm,1,erdafitinib intravesical delivery system,erdafitinib intravesical delivery system,FGFR,Small Molecule,FGFR,0,1,0,1,0,0,0,0,1,FGFR-alt,
NCT05581004,"A Study to Evaluate the Safety, Pharmacokinetics, and Activity of Enzelkitug as a Single Agent and in Combination With Checkpoint Inhibitor in Participants With Locally Advanced or Metastatic Solid Tumors",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,165,"Genentech, Inc.",Roche/Genentech,922,1,1,multi_experimental,4,enzelkitug,atezolizumab;enzelkitug;pembrolizumab,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;TMB,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05600127,Chemotherapy and Sequential Immunotherapy for Locally Advanced Urothelial Cancer,PHASE2,Phase 2,RECRUITING,64,Erasmus Medical Center,Erasmus Medical Center,8,0,1,single_arm,1,avelumab,avelumab,PD-L1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
